F3,F4,T3,T4,C1,C2
-1.1083211,-0.0566979,0.9034955,0.5702484,-0.9163668,0.7640065
-0.7369550,0.1016161,0.9551788,0.8653558,-1.0141244,1.0384986
0.0554653,-0.6217055,0.8813710,0.8460116,-1.0729152,0.7610205
0.7292905,-0.6601534,1.3595948,0.7385186,-0.5512111,0.6881953
0.6548875,-0.4713579,1.5710812,0.3510049,0.1952438,1.1675397
-0.2370642,-0.7852886,1.3432720,0.1697897,0.1152804,1.4591373
-0.4313599,-0.9437685,1.1365091,0.2276343,0.1636159,1.0920085
0.1400793,-0.5252107,1.1765987,0.6676880,0.5434904,1.4658051
-0.3152249,-0.1152188,1.1040225,0.3983148,-0.1374256,1.6876270
-0.4312155,0.1535268,1.2957605,0.6209760,0.4461036,1.5855007
0.0828314,-0.2237495,1.1797005,0.7625691,0.2120469,1.0364648
0.1588521,-0.1488392,1.2704296,0.8384060,0.3931322,1.4742948
0.1677772,-0.1804005,1.3519930,1.1218499,0.4949664,1.3771929
0.0813797,0.4138963,1.6470957,1.3272903,0.6987293,1.2028106
-0.0301339,-0.0420731,1.4374974,1.3061967,0.4164684,1.6363181
-0.0784850,-0.6033389,1.4308805,1.1160364,-0.4815987,1.4228611
-0.1764014,-0.5353131,1.2817827,0.3849525,-0.1194025,1.4109199
-0.3454802,-0.2937693,1.4286108,0.5781081,0.1374057,1.6674929
0.1076379,0.4591730,1.8374419,0.9295951,0.4495455,1.6396021
0.1009580,0.5507613,2.1119406,0.7102422,0.1666189,1.2985090
0.1907388,0.8456256,1.9716306,0.5156358,-0.1289693,1.4934392
0.6226847,0.6788343,1.8282173,0.9261869,-0.3919836,1.8582677
0.7397284,0.7477780,1.8675302,1.4989535,0.0293751,2.0149190
0.8845907,0.5659764,1.7120875,1.4032588,0.4293364,1.6704135
0.8265298,0.7063275,1.7008293,0.8954344,-0.0806517,2.0596030
0.4544295,0.5723531,1.7583740,1.2076145,-0.2804219,1.9375277
0.4120285,0.1641193,1.6955987,0.7849860,-0.4636495,1.0033703
-0.0810098,0.0518271,1.6993202,0.5740525,0.1816841,1.0736377
0.0959070,0.3494948,1.6597695,1.1088395,0.4577897,1.7634072
-0.1413582,0.2202081,1.9317812,1.2532871,0.6214520,1.3560686
0.2919530,0.5711983,2.0055277,1.3046179,0.8860825,1.5966904
0.4453076,0.4944101,1.8004528,1.7624273,0.9893903,2.1596081
0.5816341,0.6984637,1.9540441,2.0984423,0.8526461,1.9405512
0.5106835,0.5925366,1.9406997,1.7384696,0.4131591,1.4076287
-0.4737350,0.1968706,1.6842268,1.4987693,0.3690103,1.3856328
-1.2900149,-0.4686984,1.5013635,1.3214482,1.0264452,2.2104373
-0.3388260,0.1387875,1.7717993,1.2078462,0.5785541,1.8566759
0.3480026,0.8707101,1.9187140,1.1280721,0.2093832,1.8139595
0.2237534,0.5229569,1.7073630,1.1562387,0.3160005,2.0875437
1.2839072,0.5015954,1.8655789,0.8568686,0.1567415,1.7947447
1.0927963,0.4243533,1.7636284,0.5530196,0.2286721,1.6988766
0.9328359,0.2771204,1.7858040,0.6061805,0.4909684,1.9761232
0.5878450,0.5463564,1.4979312,0.5921033,0.4629796,1.6790556
-0.1342247,0.0797730,1.1517994,0.2616429,0.0406990,1.4221728
-0.2173138,-0.5537448,0.9513004,0.1362153,-0.2591820,1.5865874
-0.0934680,-0.0502676,1.2508130,0.6926785,0.3297219,1.8248861
-0.1909578,0.1457754,1.3761477,0.6336172,0.5220125,1.5621073
-0.8068448,-0.4752961,1.2028819,0.7820742,0.4072328,1.3767292
-0.8640223,-0.5342682,1.1294850,0.3503139,0.3034577,1.4327415
-0.2711402,-0.3790394,1.2933279,0.1827075,0.1009192,1.0054380
-0.4154050,0.1659644,1.4295154,0.4056827,-0.1053631,1.0485688
0.0651178,0.8529448,1.4721164,0.5898485,-0.4193212,1.5411650
0.2113699,0.2964216,1.4826577,0.1390789,-0.2751973,1.5734874
0.0746395,-0.6702498,1.2096418,0.1776626,-0.2720095,1.4848716
-0.3569057,-0.9125297,0.9924866,0.2334283,-0.3012682,1.7473131
0.2206444,-1.1164224,1.0891560,0.0869350,-0.0251797,2.0199189
0.9732146,-0.9656541,1.4403399,0.2674577,0.1256168,1.5588273
0.9948563,-0.2296705,1.4918109,0.4714440,0.5518808,1.5952392
1.1790154,-0.0691560,1.7238340,0.5564355,1.3339691,1.7168634
1.6577375,-0.0462440,1.9986687,1.0812448,1.7488983,1.7882499
1.4241265,-0.1885551,2.1386948,1.1690032,1.4087114,1.8435618
0.5908173,0.0517084,2.0431523,1.0867941,1.2283531,2.0117519
0.2344584,-0.5747958,1.9589322,0.8307008,0.7631362,1.9870256
0.2638713,-0.2907459,2.0480874,0.8214368,0.8159511,1.8212286
0.1923436,-0.0471610,1.9020528,0.8951011,2.1165044,1.8667890
-0.0549490,0.4903808,1.7617235,1.1590816,1.5536600,2.0497336
-0.2653404,-0.2846629,1.8420683,0.7822137,1.4245088,1.5529045
-0.5031299,-0.6914622,1.7485014,0.4876100,1.0088518,1.8627740
-0.5279259,-0.1359147,1.7076088,0.4470865,0.5018907,2.0209584
-0.4110012,0.0247606,1.8185490,0.5941293,1.3345644,1.9112679
-0.9150609,-0.5291106,1.6551492,0.6585385,1.3011882,1.8924924
-0.8065464,-0.8021954,1.5980978,0.7806544,0.9111744,2.5804427
-1.0677353,-0.8019761,1.5006433,0.8757883,0.8846581,2.5956025
-1.4173847,-0.6353360,1.6382821,1.0067990,1.2147976,2.2065439
-1.1505307,-1.1644857,1.7659239,0.8090634,1.5047768,2.6756463
-1.6531947,-2.1088915,1.5572790,0.3322794,1.3888134,2.5535939
-1.6051394,-2.2733667,1.3506088,0.0929214,1.2005609,1.6348122
-1.6223609,-1.9158806,1.2210482,-0.0251691,1.0907749,1.6601714
-1.7487087,-2.0637813,1.1070302,0.0888278,1.3812319,2.2173452
-1.4563942,-2.1299744,1.2416476,0.0670858,0.8897706,2.0995841
-1.5442796,-2.1336424,1.1368272,-0.1272330,0.4091527,1.7125342
-1.1604670,-1.7164929,0.9561742,-0.2386844,0.3488543,1.9876741
-0.4880384,-1.8152808,1.0276723,-0.6766229,-0.2357197,1.6280726
-0.0375061,-1.6969067,1.3481133,-0.9811212,-0.1950267,1.4164464
-0.1078522,-1.0376865,1.4413455,-0.6160876,0.2994745,1.6444505
0.1311294,-0.4537499,1.4633877,-0.3409515,-0.2826449,1.7068274
1.0091641,-0.4992492,1.6403246,-0.0531885,-0.5194960,1.1980433
1.8280728,-0.0164463,1.5338510,0.3817437,0.1987421,1.2448924
1.6354182,0.5098550,1.1108774,-0.0359787,0.0845921,1.4647998
1.6222745,1.1683252,1.1555849,-0.0023956,-0.7207872,0.8649368
2.4084105,1.4211258,1.1438143,-0.1292942,-0.7644804,0.6711042
2.7899156,1.4497006,1.2250036,-0.0913822,-0.6989009,1.4173104
2.3489976,1.3710574,1.3176764,0.4581536,-0.6288214,1.5463839
2.4779475,1.5604516,1.0576187,0.5726974,-0.3717359,1.1980885
2.6246741,1.7126455,0.9298339,0.4684966,-0.4246476,1.3640597
2.6471174,1.2030905,1.0071759,0.3100863,-0.2728415,1.2686654
2.3577309,1.2302356,1.0777147,0.1734292,-0.7709130,0.8598112
2.1746159,1.6714506,0.8316662,0.2143171,-0.6762764,1.2885959
1.5478971,2.0706151,0.8035032,0.3469464,-0.8013271,1.8152096
2.2380147,1.6008142,1.1852119,0.4133884,-0.6702342,1.1206362
2.5374160,1.3300700,0.9117253,0.0932902,-0.5076714,1.1198519
2.3190577,1.5979048,0.8606917,0.2317822,-0.1727561,1.6368548
2.5120959,1.8746990,1.0022047,0.5738676,-0.2938374,1.3922145
2.5902784,2.1354933,0.9307830,0.4920200,-0.1569425,1.0874909
1.8410158,1.5264502,0.7626995,0.3771566,0.2651129,1.4659966
1.8047667,1.6124758,0.9846312,0.4845294,0.0955785,1.5951331
1.8320733,1.6370296,1.1857684,0.5342671,-0.6501781,0.6274136
1.7338926,1.4544785,0.7679216,0.4766371,-0.8504075,0.7943798
1.3394288,1.8428644,0.8126451,0.3745696,-0.4786655,1.2581738
2.1597531,1.5702363,1.1249868,0.4550750,0.2945585,1.2413899
2.5548790,1.4861343,1.7813402,0.4748876,0.7066359,1.2567872
1.9506258,1.1332773,1.5439122,0.6195333,1.1719718,1.4725295
