# F3,F4,T3,T4,C1,C2
-114.003,-173.475,-243.017,-81.512,-72.582,-113.813
-115.523,-174.045,-248.337,-79.422,-75.622,-110.203
-124.453,-176.135,-245.867,-84.172,-73.342,-117.613
-119.893,-182.215,-252.327,-92.533,-72.962,-121.223
-116.663,-183.545,-247.957,-90.633,-78.662,-120.083
-112.863,-180.505,-242.827,-89.493,-77.142,-111.533
-116.093,-179.745,-247.197,-90.063,-75.432,-114.573
-118.943,-179.555,-250.997,-90.253,-78.852,-121.603
-120.463,-182.025,-250.997,-87.212,-77.332,-121.793
-117.423,-181.835,-250.237,-84.742,-77.712,-117.993
-116.663,-176.895,-250.997,-82.842,-79.612,-114.193
-115.333,-176.895,-247.767,-81.132,-79.802,-114.193
-116.093,-178.035,-246.627,-81.892,-78.092,-115.523
-117.803,-176.705,-246.627,-83.602,-76.572,-114.763
-120.083,-177.465,-243.397,-83.982,-75.812,-113.243
-114.003,-176.515,-239.977,-83.032,-77.332,-115.333
-112.103,-181.265,-242.257,-81.132,-77.902,-114.383
-118.753,-182.405,-247.577,-79.802,-75.432,-112.673
-120.083,-180.695,-246.247,-85.882,-75.622,-113.623
-116.283,-183.355,-245.297,-89.303,-78.092,-116.093
-116.853,-183.165,-247.767,-90.063,-76.762,-115.523
-119.133,-183.355,-247.957,-91.393,-76.952,-114.003
-121.793,-181.265,-250.807,-89.113,-77.142,-108.873
-120.843,-181.645,-249.667,-91.013,-78.472,-110.203
-115.903,-186.015,-245.677,-90.633,-79.612,-116.283
-119.893,-179.365,-247.767,-87.212,-75.812,-114.003
-119.703,-179.175,-247.577,-84.172,-73.342,-110.583
-117.993,-180.505,-240.357,-81.322,-75.622,-112.863
-114.763,-177.275,-233.707,-79.042,-74.482,-117.993
-116.663,-180.315,-235.607,-80.752,-72.012,-121.223
-117.613,-179.175,-242.067,-81.132,-72.392,-111.153
-113.053,-179.175,-244.917,-79.042,-71.252,-107.163
-110.963,-178.985,-240.357,-79.232,-75.052,-121.793
-111.153,-175.755,-243.017,-77.332,-73.532,-125.594
-111.533,-178.035,-247.387,-77.142,-74.862,-118.753
-110.393,-179.745,-246.437,-77.142,-70.682,-117.993
-105.643,-176.895,-241.307,-76.572,-69.352,-117.803
-103.933,-173.665,-234.847,-73.912,-67.452,-119.893
-105.453,-165.115,-233.137,-68.592,-65.552,-115.713
-106.023,-163.975,-231.617,-69.732,-67.452,-108.873
-107.543,-166.255,-227.626,-68.402,-69.162,-109.633
-102.983,-166.445,-229.716,-66.502,-72.582,-112.863
-105.453,-166.445,-234.467,-67.072,-69.922,-113.623
-106.023,-167.205,-234.087,-65.742,-69.162,-111.533
-105.263,-169.865,-227.626,-63.082,-67.262,-112.103
-105.263,-171.005,-225.536,-64.602,-67.832,-116.853
-106.973,-169.675,-231.426,-60.232,-68.212,-113.813
-106.213,-169.485,-231.617,-65.932,-64.982,-109.063
-104.313,-171.575,-229.526,-65.172,-68.592,-110.963
-107.543,-173.855,-229.906,-64.222,-70.872,-114.953
-112.483,-176.515,-232.377,-69.542,-75.812,-112.673
-111.723,-173.855,-239.977,-74.672,-79.042,-112.293
-113.053,-176.515,-243.967,-78.662,-78.472,-117.233
-113.053,-182.025,-243.017,-83.792,-77.712,-121.603
-112.673,-183.545,-243.777,-88.162,-78.852,-126.734
-109.633,-182.975,-250.617,-86.642,-77.712,-121.983
-110.773,-184.305,-248.147,-84.742,-76.762,-124.834
-108.873,-186.015,-245.867,-86.072,-79.802,-125.404
-112.673,-186.015,-245.677,-85.692,-77.522,-128.634
-112.863,-179.935,-244.727,-86.452,-73.912,-124.453
-109.633,-176.515,-239.217,-83.032,-70.872,-117.613
-108.493,-178.035,-235.227,-83.412,-72.202,-121.413
-104.313,-175.755,-232.567,-82.462,-71.442,-121.033
-106.213,-172.905,-232.187,-82.272,-68.782,-116.663
-105.263,-175.565,-230.666,-78.472,-66.312,-109.253
-100.513,-177.465,-225.916,-80.752,-63.082,-111.723
-100.513,-174.045,-221.166,-78.092,-63.462,-113.813
-103.173,-172.715,-226.676,-78.472,-63.272,-112.483
-106.023,-178.795,-230.666,-81.702,-66.692,-110.583
-110.203,-186.205,-234.277,-83.032,-68.592,-112.293
-110.963,-184.305,-238.457,-85.882,-70.302,-120.463
-119.323,-188.675,-241.687,-88.162,-69.542,-122.173
-120.843,-189.055,-246.437,-91.203,-69.732,-116.473
-118.183,-186.395,-247.577,-89.493,-67.262,-115.523
-118.183,-191.145,-243.587,-91.013,-69.542,-123.883
-114.953,-191.905,-246.247,-89.493,-70.492,-121.983
-114.953,-189.435,-244.537,-86.262,-70.872,-117.423
-112.293,-186.395,-240.167,-81.512,-67.452,-113.813
-109.633,-182.975,-234.657,-76.002,-69.162,-116.283
-109.443,-181.075,-233.137,-73.342,-71.632,-120.463
-108.113,-175.565,-235.797,-73.152,-69.542,-118.563
-109.823,-172.905,-234.467,-71.822,-65.742,-117.423
-115.143,-172.525,-231.236,-72.012,-65.742,-118.753
-111.533,-174.615,-231.617,-70.112,-68.972,-116.473
-111.153,-174.805,-237.317,-71.442,-70.872,-113.433
-114.763,-173.475,-240.737,-72.962,-71.442,-112.293
-114.003,-175.755,-241.117,-72.202,-71.822,-118.373
-113.053,-177.275,-241.307,-74.292,-70.302,-120.653
-116.853,-178.415,-240.357,-74.862,-71.252,-117.233
-116.473,-177.275,-241.117,-72.582,-72.772,-111.723
-112.483,-175.945,-244.347,-68.592,-71.442,-114.003
-109.823,-174.805,-242.067,-70.112,-71.252,-117.233
-106.403,-174.805,-239.597,-68.022,-70.682,-113.813
-106.783,-171.765,-238.647,-71.252,-71.252,-111.913
-102.033,-168.535,-232.187,-67.832,-70.872,-111.343
-96.713,-165.495,-224.206,-68.972,-67.072,-114.763
-96.713,-165.115,-223.066,-68.782,-64.982,-115.333
-100.323,-172.715,-228.766,-73.722,-68.212,-115.333
-97.853,-176.705,-234.657,-77.712,-74.292,-114.383
-97.283,-175.185,-236.557,-75.242,-75.052,-119.893
-97.473,-174.615,-240.357,-78.852,-72.582,-123.503
-95.383,-174.615,-246.247,-82.082,-73.532,-118.563
-90.633,-172.335,-242.637,-78.472,-70.112,-118.373
-89.113,-170.055,-233.327,-75.812,-68.212,-122.933
-87.212,-168.345,-231.426,-75.052,-64.982,-121.413
-80.562,-168.345,-228.576,-72.772,-64.602,-114.763
-76.002,-163.405,-220.216,-67.072,-65.552,-109.443
-80.562,-163.595,-211.476,-61.372,-62.702,-106.783
-81.322,-165.305,-213.566,-59.092,-58.142,-103.743
