F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
0.1744252,-0.9755220,0.0432851,0.9707350,0.3147773,0.9548429,0.4935342,1.4650568,0.8291377,-1.0374029,0.9323812,0.6143412,1.1871510,1.1064750,0.1924485,1.5086491,0.8338432,0.9063596,0.8798916,1.3990464,1.0303448
0.2296189,-0.4867154,-0.2452132,1.4170436,0.6762571,0.5111368,0.1744286,1.3766487,0.7984247,-1.0253410,0.9715228,-0.2664346,0.7177618,1.1006312,-0.2682931,1.0284355,0.2938266,0.4405700,0.6620376,0.8251172,0.6804807
0.0792094,-0.7347665,-0.7103310,0.6152833,-0.2031148,0.6766984,-0.4011719,1.2914367,0.9036642,-0.2345578,0.7813368,-0.2493450,0.9879128,0.7601488,-0.9868081,0.8874483,0.2227489,0.1954505,0.0973177,0.4683225,0.3716047
-0.4680677,-1.3885098,-1.5248617,-0.3124301,-0.7039767,0.8058071,-0.7938052,1.2628816,0.7741271,-0.2305668,0.9370776,0.9799513,0.9700668,0.5068725,-0.4610263,1.4639742,0.5598016,0.2094901,0.2427482,0.2223669,0.2267456
-0.2985187,-1.3523294,-0.6823725,0.5275585,-0.3847014,0.7152146,-0.2838909,1.5384538,0.8052979,-0.1633245,1.0750368,1.0288954,1.2911165,0.5187516,-0.3647017,1.1645261,0.9801561,0.3595065,0.0307715,0.1278613,0.2667421
0.4048637,-1.0779871,-1.3028880,0.7676179,-0.1929325,0.1991766,-0.4938231,1.3879532,0.8747581,-0.4662691,1.0314060,0.2926885,1.2272416,0.5229731,0.2208023,1.8837092,1.5929159,0.7496344,0.1533046,0.5375339,0.4726727
0.8371059,-0.9414988,-1.0008535,1.0899869,0.1226153,0.2787450,-0.0475989,1.3672923,1.6541411,-0.2234226,0.9048603,0.9767604,1.2209775,0.7163575,0.6181629,1.8529853,0.6826548,0.3981843,0.6714671,0.8618354,0.4099139
1.3128605,-0.8675129,0.1260686,1.1781602,0.2314022,0.6296499,-0.1170330,1.5912114,1.6834532,-0.1283318,0.8531078,0.4365509,0.9979870,0.9246674,0.3404694,1.4346945,0.2228679,0.5275220,0.6861724,0.3097021,0.5470188
1.0228983,-0.6619641,0.6294062,1.2983097,0.3914603,0.4805033,0.1943541,1.7104164,0.9496783,-0.5150557,0.8693514,-0.3442360,0.8055732,1.0326711,0.0670690,1.4412796,0.3758157,0.4988774,0.7932175,-0.1067861,0.2472861
0.5874824,-0.5256730,0.3346043,0.8045192,-0.0293582,0.8851876,0.4976876,1.4904536,1.2366203,-0.5470833,0.8135753,0.2214967,1.0190488,0.9387943,0.0281005,1.5873338,0.1051419,0.3683761,0.4616628,0.1214278,0.3789791
