F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
0.5178043,0.2529404,-0.4693766,0.7061391,0.8563310,0.6016791,0.5592812,0.8279332,0.5272982,1.1342598,0.8762379,0.8132049,0.5244853,0.6927804,0.6600631,0.8978810,0.9667731,0.3871575,0.7577214,0.8326868,0.2353408
0.5207440,0.4635624,-0.2153211,0.8277559,1.2425898,1.3378378,1.2004465,1.3272189,0.6008080,1.1982696,1.6160740,1.0846697,1.0391331,1.1222522,0.9658593,1.4608470,1.5564270,0.8321521,1.3200063,1.7416415,0.7579846
0.7270896,0.4126877,0.0374027,0.8700646,1.4614010,1.9261900,1.3143522,1.2505227,0.7595528,1.3116643,1.7668839,1.2231158,1.1635337,1.2540181,1.2239887,1.7175504,1.8555453,1.0587060,1.4426730,2.2610285,1.1218551
0.7167175,0.5207524,0.1767187,1.0212426,1.4105867,1.7152051,1.2303437,1.1226619,0.8050182,1.8215693,1.5640581,2.3139212,1.3923980,1.6512308,1.0828102,1.6906090,2.0716553,1.3070713,1.3675481,2.1610501,1.3064402
0.7243555,0.6559447,-0.0202510,1.1128129,1.2199725,1.4457486,1.2831856,1.2538149,0.8814391,1.9991058,1.3694204,2.0163658,1.4312350,1.8816804,1.0443234,1.7006824,1.7997891,1.2360168,1.3198258,2.2122309,1.5358173
0.8486024,0.7980878,-0.0269427,1.1268663,1.7834302,1.3393558,1.2124311,1.3647567,0.9304988,1.7676803,1.5275861,1.2626990,1.4005443,1.8506376,1.0788074,1.5159677,1.7204163,1.2614349,1.1489060,2.0675247,1.1684231
0.7622551,0.4538582,-0.1246511,1.0694035,1.5843449,1.4261180,0.9736290,1.2172947,0.8039244,1.2804453,1.2540540,0.8774182,0.9480423,1.4854189,0.6589097,1.0246776,0.7367230,0.5189638,0.9886895,1.5640017,0.4238659
0.7525264,0.5121820,-0.5219995,0.7219279,0.9259102,0.9949946,0.7163724,0.9843017,0.5687755,1.0649062,0.9681177,0.7472759,0.3456645,0.9497917,0.3763500,0.6784838,0.0131946,0.1239303,0.7712444,0.8726368,-0.0581771
0.7555027,0.7377391,-0.3373312,0.8623884,1.1441766,0.9454201,0.6856005,0.8859050,0.1229672,0.8691593,0.7689122,-0.2847230,0.2073023,0.5377702,0.1514788,0.4079363,-0.3788317,-0.0140167,0.3867074,0.3706352,-0.3385461
0.6269549,0.6101084,-0.3200501,0.8739392,1.4270527,1.3327795,0.7127572,0.7071015,0.1876455,0.9837991,0.5708328,-0.1876316,0.3917477,0.4004635,0.2800072,0.7316914,0.0850932,-0.1630345,0.2062597,0.2282794,-0.2950087
0.7056173,0.2740829,-0.2713123,0.6623306,1.4505868,1.3291588,0.7170987,0.5069325,-0.0155647,1.0628284,0.7111910,0.7640849,0.6510108,0.6924413,0.0588845,0.8373198,0.5900872,-0.1684235,0.3445757,0.5777244,0.1831218
0.4094616,0.0125489,-0.2030744,0.7665645,1.3466729,0.7579452,0.8860596,0.7515629,-0.0821866,1.4550309,1.1951212,0.9135268,0.8045375,0.7736880,0.4940120,0.7492197,0.8774800,0.2332617,0.7215413,0.9265665,0.5024752
0.3527984,0.3956197,-0.3117063,0.7764814,1.0760489,1.1301724,0.8578466,0.9221440,0.2860760,1.0821587,1.2694482,0.9659604,1.0986310,1.0095141,0.5651144,1.1050651,1.2602301,0.2402710,0.7219836,1.2631022,0.5268086
0.2998640,0.1709199,-0.5789545,0.6179085,1.0964220,1.1269389,0.7241625,0.4699161,-0.1175926,1.1372226,1.4669038,1.8082385,0.7563384,1.0179967,-0.0880161,0.4529300,0.8444430,-0.0989885,0.4103031,0.6834226,0.0775510
0.2329813,-0.2194968,-0.7896465,0.2803246,0.4765326,0.3967314,0.2867815,-0.0303294,-0.4118859,0.3743614,1.2158676,1.4039441,0.1377211,0.4619769,-0.6388376,-0.6939585,-0.0363351,-0.4625323,-0.2738800,-0.1115378,-0.4636758
0.0013131,-0.3283986,-0.9723420,0.1700338,0.4630654,0.2780413,-0.1037258,-0.2958514,-0.9158753,0.0317454,1.1372002,0.1829567,-0.3763552,-0.2549897,-0.8739489,-0.8004324,-0.4766195,-0.8391048,-0.5289946,-0.2907493,-0.8566651
0.2588452,-0.0904631,-1.0327802,0.1694395,0.7883533,0.2795234,-0.2189847,-0.4426174,-0.8306806,0.3367223,0.9485668,0.1168346,-0.4527535,-0.2373986,-1.0037123,-0.9901660,-0.8573900,-0.9111738,-0.8805003,-0.7254824,-1.3114665
0.2408913,-0.1881931,-0.8584064,0.1266351,0.8338609,0.2704434,-0.1311644,-0.3307776,-0.9107109,0.4942165,0.9630927,0.4137190,-0.4741346,-0.1865767,-0.9470623,-0.7662061,-1.0760543,-0.8966314,-0.8886889,-0.9413232,-1.5284871
0.2117001,0.0398183,-0.9907960,0.1510676,0.4428205,0.4974146,-0.1102114,-0.1060252,-0.8465593,0.6085597,1.1852919,-0.2766016,-0.6267640,-0.3498479,-0.7767393,-0.3554814,-0.5862592,-1.0272315,-0.5952058,-0.3340433,-1.1604674
