# F3,F4,T3,T4,C1,C2
-96.333,-171.005,-350.560,-90.253,-77.522,-121.033
-95.953,-173.095,-352.650,-89.493,-74.482,-121.033
-96.903,-171.005,-354.170,-85.882,-75.432,-114.953
-97.473,-170.435,-356.070,-83.412,-79.042,-112.673
-97.283,-167.775,-355.310,-84.742,-78.282,-110.013
-95.003,-166.445,-356.450,-81.892,-77.142,-105.643
-97.283,-168.535,-356.450,-80.182,-73.912,-105.643
-94.243,-165.875,-352.460,-81.132,-75.622,-108.683
-95.003,-166.255,-351.130,-82.652,-77.142,-111.533
-97.473,-168.535,-360.250,-85.502,-76.762,-115.713
-98.613,-171.955,-364.240,-89.113,-77.142,-110.203
-98.613,-171.005,-359.300,-88.923,-76.762,-108.493
-96.523,-172.145,-354.930,-88.542,-73.722,-116.663
-94.623,-171.575,-355.880,-87.402,-73.532,-114.953
-96.523,-167.585,-361.580,-85.692,-75.052,-110.963
-96.903,-169.865,-363.100,-85.882,-78.472,-111.153
-97.473,-169.295,-363.100,-81.702,-81.512,-117.803
-97.853,-167.205,-361.200,-86.642,-79.042,-114.763
-99.183,-170.435,-359.490,-89.683,-77.142,-109.823
-103.363,-169.865,-357.780,-95.003,-75.052,-112.103
-100.893,-168.345,-358.540,-92.723,-79.232,-114.953
-98.993,-169.865,-361.580,-88.162,-79.042,-114.383
-97.283,-170.625,-368.800,-86.642,-76.572,-107.923
-96.523,-173.855,-367.090,-90.443,-75.622,-109.823
-99.943,-174.045,-361.580,-88.732,-75.432,-119.133
-101.463,-173.285,-365.760,-92.343,-77.712,-124.453
-103.363,-171.385,-370.320,-94.623,-82.652,-117.993
-104.503,-173.285,-374.121,-98.803,-84.932,-115.903
-102.413,-175.755,-370.700,-99.563,-85.502,-118.753
-101.273,-172.905,-364.430,-97.473,-87.212,-120.463
-105.073,-175.375,-363.670,-96.523,-83.792,-119.703
-107.733,-174.805,-365.760,-94.433,-82.842,-113.813
-106.213,-173.475,-365.760,-94.243,-83.982,-118.563
-102.983,-172.335,-366.710,-94.623,-84.172,-121.413
-101.843,-172.905,-370.890,-94.243,-87.592,-122.173
-100.703,-174.615,-373.931,-98.803,-88.352,-122.553
-102.413,-171.005,-373.931,-100.893,-89.683,-125.784
-103.173,-171.765,-376.781,-98.613,-89.113,-125.214
-103.553,-177.845,-374.691,-97.093,-88.352,-125.784
-104.503,-179.935,-372.980,-97.663,-87.212,-120.653
-103.553,-177.085,-372.600,-96.333,-85.502,-119.703
-102.413,-176.325,-367.090,-93.863,-83.032,-123.693
-98.803,-173.855,-359.110,-87.592,-81.132,-120.463
-100.703,-170.245,-355.310,-88.732,-82.652,-118.943
-111.913,-173.665,-364.240,-90.823,-88.732,-120.463
-114.953,-172.525,-377.921,-91.013,-87.782,-123.313
-96.903,-170.815,-371.080,-91.393,-82.272,-124.644
-88.162,-168.345,-365.000,-91.013,-81.132,-120.843
-86.452,-171.385,-362.340,-95.573,-81.132,-117.993
