F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.1967234,0.7767003,0.3930492,0.2526157,-0.5325447,1.1316543,0.3210199,-1.3200003,-0.3411192,-0.4800694,0.5536714,0.7840278,0.5531092,0.5646958,-0.6496140,0.3778303,0.8326511,0.6614102,0.0490723,0.9566218,0.5220206
-0.2368873,0.7094945,0.0768549,0.2000130,-0.7634225,1.0429991,0.1869146,-1.2174805,-0.5194808,-0.2692869,0.6245330,0.8315839,0.3073221,0.5098072,-0.6148592,0.7004755,0.5519699,0.3358959,0.1375715,0.8708538,0.2412826
-0.1991518,0.6387588,0.0121066,0.2542521,-0.5386475,0.5170710,0.1283177,-1.1426365,-0.3031703,-0.2613462,0.5004131,0.4027035,0.2475803,0.1468632,-0.3094721,0.3475589,0.4741959,0.2575676,0.1587411,0.7158962,0.2027983
-0.1114368,0.6591536,-0.2004619,0.4741319,-0.1318470,0.1105357,0.0340033,-1.3158287,-0.2255752,-0.0374346,0.2255814,0.3498370,0.1776037,0.1289488,-0.5518351,0.0450300,0.3051901,0.0593860,0.0866746,0.7528092,-0.1321135
-0.0955502,0.6499537,-0.1361340,0.4376009,0.0091710,0.2059038,-0.0841967,-1.3912908,-0.0633604,-0.3748324,0.1635673,0.5204471,-0.2968776,0.0410344,-0.6397460,0.2153293,0.1896854,0.0660640,0.0874471,0.8067906,-0.0070614
-0.0277253,0.7521437,0.0600650,0.3900454,0.0189667,0.1088354,-0.1390021,-1.2034612,0.0214836,0.0562884,0.0342577,0.1791814,-0.3275849,0.0285906,-0.4547727,0.3150237,0.5090165,0.1613363,0.0915467,0.5237218,-0.0695797
0.0031224,0.9374980,0.5675229,0.4346221,0.1327073,0.2592563,0.1783342,-1.1409454,0.2272769,0.1794452,0.2025222,-0.0343866,0.2394010,0.3001779,-0.0735247,0.7014371,0.5187612,0.3785904,0.5200546,0.6972803,0.1836547
0.0228965,0.8039603,0.5476407,0.6799990,-0.0426307,0.7667193,0.4734401,-1.1856464,0.4640775,0.2782566,0.2678404,0.2915983,0.4046886,0.5450280,0.1429340,0.8921240,0.5956980,0.4566035,0.6914836,1.0291750,0.3002653
0.0720668,1.0133395,0.6664823,0.7518526,-0.1510656,0.5733057,0.5018576,-0.9521205,0.8581081,0.5154889,0.3034628,0.2462490,0.5728137,0.4777067,0.1563624,0.9243220,0.6783591,0.5485573,0.6151150,0.6936564,0.2046278
0.1632196,0.7573079,0.4617637,0.5264954,0.0837318,0.8699682,0.3610534,-0.9142305,0.9345486,0.3790932,0.3061538,0.2310068,0.3885844,0.4262305,0.2364355,0.8422882,0.5341729,0.2658266,0.4896176,0.5783309,-0.1493085
