# F3,F4,T3,T4,C1,C2
-121.793,-192.095,-254.607,-114.193,-90.253,-146.874
-122.933,-190.955,-251.187,-115.333,-90.823,-146.304
-123.693,-188.105,-243.587,-117.993,-91.583,-146.114
-120.653,-191.145,-244.917,-117.233,-88.542,-146.494
-120.843,-187.155,-255.557,-115.333,-86.452,-141.554
-118.183,-184.685,-256.697,-111.153,-85.502,-139.844
-119.133,-184.875,-252.327,-114.193,-87.972,-141.744
-119.133,-181.835,-251.947,-117.043,-90.633,-145.164
-119.893,-183.925,-256.317,-116.853,-91.013,-141.744
-121.603,-184.495,-259.357,-117.993,-93.673,-143.074
-123.503,-188.105,-258.217,-113.813,-92.153,-143.834
-123.693,-186.015,-252.327,-112.673,-92.153,-143.074
-125.214,-186.585,-253.087,-111.343,-88.352,-135.094
-125.024,-185.255,-258.787,-107.353,-88.923,-136.994
-126.544,-184.685,-257.837,-109.063,-88.162,-137.564
-124.453,-187.345,-255.367,-113.433,-87.402,-139.274
-121.603,-188.675,-255.557,-114.193,-84.932,-139.654
-123.503,-185.065,-255.747,-113.433,-84.552,-131.864
-123.313,-183.735,-254.227,-110.583,-84.552,-135.664
-121.793,-182.975,-252.707,-106.403,-81.512,-142.504
-118.753,-182.215,-246.817,-100.513,-81.702,-138.324
-118.183,-179.745,-245.867,-96.903,-82.082,-135.664
-118.373,-179.745,-245.107,-98.993,-83.222,-137.564
-121.413,-180.125,-250.047,-103.173,-85.882,-137.374
-122.933,-181.835,-257.457,-106.783,-83.982,-136.994
-127.684,-183.355,-260.117,-113.053,-83.982,-135.284
-128.444,-186.585,-254.797,-115.713,-85.692,-138.324
-129.964,-190.005,-254.987,-119.133,-85.312,-138.514
-129.774,-190.765,-257.077,-125.784,-88.352,-143.264
-131.294,-191.525,-259.547,-120.273,-88.923,-143.454
-129.964,-193.995,-259.927,-119.893,-90.253,-142.884
-126.354,-192.475,-256.127,-113.433,-89.683,-147.254
-128.824,-190.005,-254.797,-112.293,-83.792,-146.114
-128.254,-193.235,-261.067,-113.053,-83.982,-135.854
-130.154,-187.725,-261.637,-110.583,-85.122,-136.994
-128.254,-187.915,-259.357,-112.483,-84.172,-140.794
