# F3,F4,T3,T4,C1,C2
-129.774,-186.775,-226.486,-102.223,-83.412,-122.743
-132.814,-184.685,-233.897,-108.493,-84.172,-126.734
-132.054,-188.105,-235.037,-116.473,-84.552,-132.814
-131.104,-190.765,-232.187,-115.333,-82.462,-129.774
-132.624,-191.335,-237.317,-114.003,-81.702,-121.223
-130.914,-196.276,-238.837,-114.003,-83.982,-125.404
-125.974,-191.525,-230.286,-111.913,-84.552,-133.764
-124.644,-189.435,-229.906,-112.673,-83.792,-134.144
-130.344,-187.535,-238.837,-114.193,-83.412,-127.874
-134.714,-190.955,-238.647,-116.473,-85.692,-128.254
-129.964,-186.205,-236.177,-115.713,-87.402,-137.564
-128.824,-186.015,-234.467,-112.293,-90.823,-140.794
-126.924,-186.395,-236.367,-107.543,-84.932,-130.344
-125.594,-183.165,-236.367,-107.543,-82.652,-125.974
-128.634,-185.635,-234.657,-103.933,-84.362,-128.824
-130.534,-186.205,-233.707,-102.983,-80.372,-127.494
-127.684,-180.695,-230.286,-102.793,-77.712,-124.453
-125.024,-182.785,-229.906,-101.843,-80.182,-121.603
-123.503,-187.535,-225.156,-105.643,-83.602,-132.434
-124.453,-185.255,-219.836,-105.453,-84.362,-140.224
-124.453,-183.545,-219.266,-102.223,-79.232,-134.714
-121.983,-182.785,-215.276,-97.663,-78.092,-128.064
-118.943,-181.645,-216.036,-89.873,-74.862,-123.313
-114.953,-182.405,-214.896,-89.113,-75.812,-125.404
-112.103,-179.935,-212.996,-87.592,-73.532,-121.413
-113.813,-182.025,-211.476,-88.542,-69.732,-113.433
-121.223,-186.965,-215.656,-90.443,-69.732,-113.243
-126.734,-188.675,-217.366,-92.723,-74.102,-116.093
-110.773,-179.175,-213.756,-91.203,-73.722,-121.033
-102.603,-175.375,-214.326,-91.963,-77.332,-127.684
-104.883,-175.565,-215.656,-97.283,-83.222,-130.154
-109.823,-180.695,-218.696,-104.313,-87.972,-135.664
-113.623,-189.435,-222.496,-112.673,-85.122,-140.034
-113.623,-191.525,-228.766,-115.333,-85.312,-133.954
-114.003,-192.095,-231.997,-113.433,-86.642,-134.904
-111.153,-192.475,-228.006,-117.613,-88.732,-142.314
-114.383,-192.475,-228.006,-117.423,-84.742,-140.604
-114.573,-192.285,-231.617,-113.433,-80.942,-133.004
-113.433,-187.535,-226.866,-107.733,-80.182,-127.874
-113.433,-183.355,-222.116,-102.603,-81.322,-129.964
-110.773,-180.125,-219.076,-99.183,-81.702,-135.284
-107.733,-176.895,-225.536,-97.093,-82.082,-129.584
-110.773,-176.325,-220.026,-97.283,-81.892,-130.914
-109.633,-177.275,-215.466,-96.713,-82.842,-135.284
-109.253,-176.895,-213.756,-94.813,-76.382,-136.614
-106.593,-177.275,-211.856,-94.623,-73.912,-133.954
-108.873,-175.185,-212.616,-92.913,-76.002,-126.544
-109.063,-180.885,-219.836,-95.193,-78.282,-128.064
-111.913,-185.825,-222.306,-101.083,-80.562,-135.474
-114.383,-181.075,-224.396,-99.183,-78.092,-131.484
-119.323,-181.645,-224.396,-96.713,-77.902,-121.603
-119.323,-180.885,-224.776,-95.953,-76.192,-124.263
-113.433,-179.175,-219.076,-96.143,-76.382,-133.194
-113.813,-180.505,-217.176,-94.243,-77.712,-129.774
-108.303,-178.225,-220.216,-93.673,-76.572,-124.453
-105.453,-176.135,-215.276,-92.153,-71.632,-124.263
-105.833,-176.705,-205.206,-91.773,-68.022,-128.064
-106.593,-180.505,-203.876,-91.773,-68.022,-129.014
-109.823,-179.935,-203.496,-91.013,-66.882,-120.463
-112.863,-181.835,-199.696,-87.402,-66.502,-116.283
-111.913,-184.685,-204.066,-91.203,-67.642,-125.594
-110.963,-183.545,-209.006,-90.633,-70.112,-129.964
-108.113,-175.945,-206.156,-88.162,-71.822,-122.743
-107.733,-178.035,-205.396,-86.832,-68.972,-118.753
-109.063,-178.225,-208.626,-87.212,-65.362,-124.453
-112.673,-181.835,-209.006,-92.913,-71.822,-130.534
-113.813,-181.455,-213.756,-95.953,-74.482,-135.664
-114.763,-181.645,-219.836,-96.143,-77.522,-134.524
-114.003,-180.505,-219.266,-97.853,-79.042,-137.184
-115.143,-181.265,-223.066,-101.273,-81.132,-140.224
-113.623,-178.985,-228.006,-100.133,-85.502,-134.904
-109.823,-180.125,-226.676,-95.763,-85.502,-130.724
-107.353,-176.135,-220.406,-96.903,-83.792,-134.714
-108.873,-177.275,-215.466,-97.283,-83.222,-140.984
-112.483,-177.845,-215.466,-99.373,-83.032,-136.804
-112.673,-177.465,-219.266,-96.333,-80.182,-127.684
-110.203,-178.605,-220.216,-95.383,-80.942,-127.684
-111.153,-179.555,-216.796,-96.333,-81.702,-135.094
-113.433,-178.225,-216.986,-94.053,-82.652,-137.564
-115.713,-178.415,-221.546,-92.343,-81.512,-128.444
-118.563,-178.225,-219.836,-92.533,-81.512,-125.404
-118.563,-181.265,-216.606,-96.523,-83.982,-129.584
-120.653,-182.405,-214.896,-95.573,-82.462,-129.204
-122.363,-182.975,-217.366,-98.233,-81.512,-127.874
-124.453,-181.645,-221.926,-98.993,-81.702,-125.784
-125.214,-184.875,-223.446,-94.623,-81.132,-129.394
-120.843,-182.405,-220.596,-92.913,-79.042,-131.294
