F3,F4,T3,T4,C1,C2
0.5178043,-0.4693766,0.8279332,0.6927804,1.1342598,0.8132049
0.5207440,-0.2153211,1.3272189,1.1222522,1.1982696,1.0846697
0.7270896,0.0374027,1.2505227,1.2540181,1.3116643,1.2231158
0.7167175,0.1767187,1.1226619,1.6512308,1.8215693,2.3139212
0.7243555,-0.0202510,1.2538149,1.8816804,1.9991058,2.0163658
0.8486024,-0.0269427,1.3647567,1.8506376,1.7676803,1.2626990
0.7622551,-0.1246511,1.2172947,1.4854189,1.2804453,0.8774182
0.7525264,-0.5219995,0.9843017,0.9497917,1.0649062,0.7472759
0.7555027,-0.3373312,0.8859050,0.5377702,0.8691593,-0.2847230
0.6269549,-0.3200501,0.7071015,0.4004635,0.9837991,-0.1876316
0.7056173,-0.2713123,0.5069325,0.6924413,1.0628284,0.7640849
0.4094616,-0.2030744,0.7515629,0.7736880,1.4550309,0.9135268
0.3527984,-0.3117063,0.9221440,1.0095141,1.0821587,0.9659604
0.2998640,-0.5789545,0.4699161,1.0179967,1.1372226,1.8082385
0.2329813,-0.7896465,-0.0303294,0.4619769,0.3743614,1.4039441
0.0013131,-0.9723420,-0.2958514,-0.2549897,0.0317454,0.1829567
0.2588452,-1.0327802,-0.4426174,-0.2373986,0.3367223,0.1168346
0.2408913,-0.8584064,-0.3307776,-0.1865767,0.4942165,0.4137190
0.2117001,-0.9907960,-0.1060252,-0.3498479,0.6085597,-0.2766016
0.1237571,-0.8757742,0.0077033,-0.6061148,0.7232981,0.1320333
0.0190991,-0.9280985,-0.1082728,-0.6601496,0.9294184,0.9105274
-0.1226466,-1.0705619,-0.0666494,-0.5409254,0.7962469,0.2737302
0.1673226,-1.0876038,0.2528166,-0.6749967,0.5812599,-0.3424191
0.1828745,-0.7395191,0.0511196,-0.4778555,0.1991791,0.0826065
0.0076559,-0.8858026,-0.0283939,-0.5823775,0.3929537,-0.2662277
0.0952373,-0.9381157,0.1439205,-0.6181787,0.1452996,-0.8152271
0.2389712,-0.7021225,-0.1815894,-0.2835786,0.5649143,-0.2216811
0.3095348,-0.4708244,0.0039794,0.3116068,1.0454669,0.3751196
0.2898918,-0.1969169,0.2583485,0.1644168,0.5120588,0.1914456
0.2333929,-0.2835944,0.1198850,0.3157743,0.8727972,0.6813161
0.2406491,-0.4234189,0.4275945,0.3206527,1.1095926,1.1358727
0.3872257,-0.6138691,0.6464489,0.3852124,1.2316222,0.9563061
0.6180128,-0.4674174,0.7205213,0.2684939,1.3169399,1.0474476
0.7768228,-0.3853330,1.0502747,0.3720731,1.5444738,1.4256923
0.8835624,-0.0721007,1.3063610,0.7138762,1.5323451,1.4478221
0.9307947,-0.1209743,1.4930105,0.9000168,1.7931744,0.7845032
0.7687911,-0.0336165,1.3051437,0.7207714,1.8991823,1.1490142
0.7647691,-0.0361657,1.2602477,0.7025598,1.9837115,1.4088461
0.7371850,-0.3648063,1.4242792,0.7754308,1.7196212,0.9314779
0.6466743,-0.3746765,1.1801724,0.6693224,1.6436291,0.5354038
0.6396285,-0.2878887,0.9135833,0.5839353,1.5495218,0.8461242
0.4776851,-0.5003133,0.8504437,0.2337764,1.2800338,0.4034163
0.3967997,-0.5931103,0.6881531,0.1058900,0.9566618,-0.3282732
0.2933116,-0.3944541,0.2606138,-0.0197889,0.7150208,0.1424915
0.2989490,-0.3742308,0.2916426,0.1660396,0.9070218,0.4690697
0.4449638,-0.3832609,0.5956227,0.4373572,0.7037972,-0.2998362
0.5194944,-0.3425108,0.7572305,0.6542522,0.9794630,0.2237121
0.4779600,-0.2860793,0.8217544,0.6274201,1.1395603,0.9172339
0.4596300,-0.5507485,0.7910470,0.3421889,1.1253392,0.3956881
0.5783664,-0.6394621,0.7201965,0.2829821,1.0839225,0.1596875
