F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.7825329,-0.4165320,-1.4654303,-0.4284269,-1.0339581,-1.2010258,-0.1927558,-1.4693242,-0.5696452,-1.0974853,-1.4189285,-1.4260404,-1.1232312,-1.0909121,-1.0549210,-0.8774975,-1.4793622,-0.4868908,-0.9796300,-1.1011343,-0.9025679
-1.0209030,-0.7748597,-1.3853427,-0.3896346,-1.3522756,-1.3301942,-0.1264856,-1.4576749,-1.0773468,-1.4279695,-1.6636723,-1.6570405,-1.3985035,-1.6352786,-0.3214648,-0.9123635,-1.6944031,-0.8462486,-0.8115892,-1.1830621,-1.4598352
-0.8918336,-0.6651459,-1.3820837,-0.3043153,-0.7980277,-0.9564592,0.0025300,-0.8890013,-0.2846604,-1.2759184,-1.6011417,-1.6117218,-1.3325617,-1.6412343,-0.3022175,-0.5968025,-1.1718247,-0.6682689,-0.5148644,-0.7682578,-1.1215019
-0.8336509,-0.7131199,-1.2663363,-0.3947402,-1.0948156,-1.0922425,-0.1652445,-1.6473604,-0.4526536,-0.8318559,-1.6844122,-1.3618469,-1.2961291,-1.5531088,-0.7841192,-0.9146287,-1.3659462,-0.9316244,-1.0114036,-1.1396205,-1.3376176
-0.7095853,-0.7415025,-0.8944945,-0.3760481,-0.7902381,-1.5849444,-0.0984375,-1.8418291,-0.4274464,-0.7282599,-1.3953902,-0.9932941,-1.0714616,-1.1001148,-0.6621696,-0.8748624,-1.4043183,-1.0974724,-1.0636876,-1.0304545,-1.4459403
-0.7463827,-0.7950120,-0.8176436,-0.3026679,-0.3981360,-1.5324099,-0.2621570,-1.5324663,-0.1962208,-1.0698838,-1.5329556,-1.3541036,-1.3088429,-1.4733908,-0.8228202,-0.8761651,-1.3229581,-1.1944933,-0.8356449,-1.1829722,-1.5232775
-0.7504353,-0.8714917,-0.6635479,-0.3497807,0.1264597,-0.7897941,-0.4099658,-1.6633903,-0.5539657,-1.3776828,-1.5560268,-1.3877621,-0.9792230,-1.5972126,-0.9737579,-1.1124370,-1.2555503,-1.1678267,-1.2626375,-1.4019046,-1.8122647
-0.8661329,-1.1192125,-0.8956634,-0.5533555,-0.4640118,-1.2362652,-0.0975545,-2.0056760,-1.1690916,-1.5363772,-2.1046364,-1.2209244,-0.8976660,-1.6908743,-0.8702555,-1.3593278,-1.6401116,-0.8503612,-1.2684973,-1.6121898,-1.7703246
-0.9650667,-0.6516282,-1.1373689,-0.3322425,-0.5648196,-0.9415928,0.1072547,-1.9271104,-0.9288447,-1.6284282,-1.9963059,-1.4848675,-0.7023482,-1.3566812,-0.5002099,-1.0652902,-1.1118923,-0.3374540,-0.9957643,-1.3733307,-1.1229888
-1.0337267,-0.4005729,-1.0510259,-0.0796416,-1.2794238,-0.5230135,0.0039870,-1.5321721,-0.6791720,-1.2985666,-1.3435141,-1.0861820,-0.8740563,-1.2197253,-0.5291030,-0.5798286,-0.5424470,-0.3291513,-0.4183408,-0.8376166,-0.4416957
-1.0642675,-1.0190871,-1.0195216,-0.7790269,-1.8638679,-0.6023074,-0.0410601,-1.8119642,-0.7583000,-1.0821671,-1.0732446,-0.6626837,-0.7188904,-0.9319833,-0.4862485,-0.6067107,-0.1567805,-0.3323438,-0.7440945,-0.4083862,-0.1056521
-1.1384702,-1.1094116,-0.8655106,-0.6653262,-1.5485824,-0.8692139,0.0031161,-1.9881952,-1.1825358,-1.0353343,-1.2222255,-0.8583992,-0.8651881,-0.8133357,-0.9922131,-0.9906915,-0.3300662,-0.5598695,-0.8169788,-0.6222299,-0.2546062
-1.0326641,-0.5746255,-1.1581295,-0.7495191,-0.8824247,-0.5636650,-0.0601128,-1.7466933,-1.0977103,-0.9306167,-0.8376378,-1.0095384,-0.7920647,-1.3110329,-1.0291033,-0.8147029,-0.2237565,-0.4787835,-0.6365843,-0.8207961,-0.3440800
-0.8945557,-0.7212172,-1.1945087,-0.8483219,-0.2122488,-0.7806408,-0.0841660,-1.8039875,-0.6473606,-0.5558663,-1.0132085,-0.8638367,-0.8729509,-1.3482009,-1.0655484,-0.6935357,-0.4117393,-0.3170774,-0.6056981,-0.5837249,-0.1640208
-1.0064310,-1.1247755,-0.8184346,-0.3931565,0.0477940,-0.8341776,0.0436084,-1.7337993,-0.5693703,-0.6485943,-1.1520382,-0.3477122,-0.9408134,-1.2083846,-0.7466261,-0.2516921,-0.0043879,-0.0435457,-0.3132249,-0.4128417,0.0817765
-0.9042531,-0.5956843,-0.7533581,-0.2218530,0.5381148,-1.1230599,0.3189436,-1.6272240,-0.4917282,-0.2735283,-1.0023696,-1.2365837,-0.5474133,-0.7606142,-0.3625855,-0.1497570,0.2073386,0.3914476,-0.2839049,-0.3927673,0.1651973
-0.7418102,-0.6198579,-0.6193811,-0.2237722,0.2242239,-1.1274757,0.5804611,-1.2426405,0.2349983,-0.2471344,-1.0472903,-0.8996542,0.1148079,-0.1797239,0.1890057,0.0984151,-0.1845980,0.5597043,-0.3499706,0.0363444,0.3838955
-0.6731226,-1.3048574,-0.3957274,-0.2391444,-0.6669371,-1.3515753,0.6059425,-1.1223543,-0.2141475,-0.2611202,-1.1812464,-0.7265229,-0.0140589,0.1773604,-0.2493482,-0.4384201,-0.4295329,0.3902856,-0.2805937,-0.1765631,-0.0937750
-0.7844382,-0.9608099,-0.4220541,-0.4615255,-0.4535642,-1.0536251,0.5287426,-1.2159245,-0.8176782,-0.6422455,-1.1266208,-0.8608450,-0.1011508,-0.2517179,-0.7229818,-0.6717241,-0.2491828,0.1251728,-0.5419675,-0.4761142,-0.3827305
-0.9470850,-0.7974869,-0.5492628,-0.6709186,-0.9417197,-0.5740974,0.1703644,-1.8126951,-0.8429329,-0.5699631,-0.6698100,-0.7947168,-0.2250814,-0.6034850,-0.7895631,-0.3635833,-0.4867833,-0.5240213,-0.8915109,-0.7042090,-1.1729470
-1.1811163,-1.0095258,-0.7839963,-0.6350189,-1.2777722,-1.3549380,-0.2394710,-2.0384386,-0.6649571,-0.5360614,-0.7467198,-0.6984588,-0.6086517,-1.2885066,-0.9865527,-0.1805932,-0.4256979,-0.6513499,-1.0297559,-0.7513524,-0.8733730
-1.3039905,-1.2465988,-1.1482668,-0.6616943,-1.1279937,-1.4908512,-0.2246342,-1.7044176,-0.9355456,-0.6758919,-0.6613540,-0.8996842,-0.4526293,-1.5108839,-1.0127493,-0.6449221,-0.5916361,-0.8646360,-0.8572409,-0.8602483,-1.1622740
