F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-0.4475433,-0.8020895,-0.2230711,-0.7047490,0.5799097,0.3470629,-0.1933699,-1.3978950,0.0903502,-0.6166533,-0.3052956,0.5241128,0.4910605,0.6552166,0.2863255,0.6911143,-0.0962487,0.2539817,-0.3850353,-0.2492289,0.3467928
-0.5128567,-0.6244604,-0.8551621,-0.6059558,0.8168163,0.1402252,-0.4483770,-2.2592616,-0.2001503,-1.0726293,-0.4551376,-0.0973335,-0.0234343,0.3906599,0.5230630,1.0739444,-0.0735493,0.1669857,-0.2064168,-0.2110907,-0.1706362
-0.2339809,0.0365977,-0.5841758,-0.7113567,1.1674541,0.5940962,-0.1919492,-1.7544225,-0.4240823,-0.5180718,0.0292826,-0.0269250,0.5175975,0.6149206,0.4557199,1.3317980,-0.0610482,0.0060197,0.0540096,0.2981790,0.1243523
-0.0167287,-0.0792303,-0.6137816,-0.9508824,0.9164564,0.6308852,-0.3508774,-2.0588031,0.0505494,-0.7908485,-0.3643128,0.1359507,0.4932780,0.4042785,0.3086373,0.9238517,-0.7573989,0.0076775,-0.5092202,-0.1473259,-0.1209162
0.1255268,-0.3946950,-0.5006092,-0.6079125,0.9745182,0.7898644,-0.0562451,-1.8218843,0.3711775,-0.6218770,-0.9066767,-0.1962311,0.0652287,0.1180435,0.3690537,0.8598812,-0.9324045,-0.1747854,-0.3492509,-0.4477727,-0.5034881
-0.2806690,-0.3708549,-0.8018337,-0.7578244,1.0942287,1.0600107,-0.0999477,-1.9332156,0.3134468,-0.0492264,-0.7243087,-0.5135843,0.2498388,0.2195413,0.1427796,0.5069007,-1.1660359,-0.2472665,-0.5857105,-0.7167809,-0.5907626
-0.2931091,-0.2544010,-0.1020452,-1.0699986,0.5188606,1.4936826,-0.0119209,-2.7168620,-0.2317556,-0.6924390,-0.6923854,0.2835579,0.1269581,0.3364315,0.0187357,0.4521856,-1.5675067,-0.2363954,-0.7385318,-0.9466181,-0.4388335
-0.2532738,-0.5607419,0.0865897,-0.8804692,0.4508992,1.4264171,0.0748388,-2.7485132,-0.4083451,-0.8421651,-0.5617826,0.4917106,0.3880425,0.3850747,-0.1106901,0.3218881,-1.2152282,0.0418370,-1.1043154,-0.9682605,-0.4825152
-0.0152411,-0.1770242,-0.4438482,-0.8149068,1.0026368,1.1197977,-0.3140864,-1.4509386,0.7003556,-0.7491699,0.1480539,0.1595091,0.6431883,0.3177250,0.2286787,1.2312301,-0.3372228,0.2166481,-0.6091712,-0.3043256,0.4145368
-0.0472677,-0.7838346,-0.4492483,-0.8235496,0.9853439,0.9203823,-0.5785061,-1.3890681,0.9364579,-0.5691432,0.0100408,0.6851207,0.5416535,0.2397915,0.2342624,1.3046951,-0.1951898,0.3785087,-0.5211310,0.2165067,0.8242137
-0.3022015,-0.7719204,-0.9734335,-1.0647581,1.0007007,0.6048386,-0.6345918,-1.6470543,0.0879519,0.2475644,-0.0341706,1.0797324,0.1731815,0.3052830,-0.2948724,1.1290985,0.0528857,0.6739843,-0.2392694,0.3913725,0.9569365
-0.1406847,-0.7450930,-0.8539161,-1.0467583,0.8443179,0.4668684,-0.7610080,-2.1589024,-0.1565430,-0.6057999,0.2151149,0.8560882,-0.4332530,0.2351550,-0.2092206,1.3071114,-0.0093467,0.3856471,-0.1709176,0.4375394,0.8226754
-0.0876915,-0.4913613,-0.5867334,-0.6031577,0.7385265,0.8718266,-0.5696220,-2.3309729,0.4043892,-0.6972021,0.5775028,0.8275558,-0.3844825,0.2194407,-0.1020363,1.1043366,-0.0714464,0.0822716,-0.2536447,0.6557991,0.7246817
0.0025526,-0.4054030,-0.0052007,-0.7098518,0.4831006,0.5886357,-0.4273262,-2.3696969,-0.0019775,-0.4478078,-0.3069701,0.8991841,-0.0207941,0.2906403,-0.1741872,0.9981157,-0.4393423,-0.2605632,-0.6381021,-0.0032953,0.0322517
-0.3813578,-0.2556090,-0.4201911,-1.0128108,-0.0443231,0.9583755,-0.1731395,-2.2033534,-0.7916589,-1.0380119,-0.5173590,0.4382743,-0.3099479,0.1916729,-0.4021470,0.1898042,-0.9380879,-0.3899662,-1.1009938,-0.7571729,-0.7622530
-0.7324584,-0.4149712,-0.5788724,-1.0326403,0.2779441,1.2690393,-0.4991146,-2.6538646,-1.1244324,-2.0391929,-0.3193339,0.2212251,-0.6596409,0.0451038,-0.5475668,0.2713042,-1.4656686,-0.9321351,-1.2453257,-1.4701425,-1.2774265
-0.6135319,-0.4878061,-0.9006058,-1.1737373,0.8825252,0.8765477,-0.6270143,-2.6492498,-1.0624471,-2.2823811,-0.0683964,0.6094609,-0.7851764,-0.3039484,-0.8757747,-0.4305530,-1.7508349,-0.8485544,-1.8532966,-1.5819901,-1.1685069
-0.5143561,-1.0280343,-0.9528708,-1.1137657,0.2363354,0.8853896,-0.8566080,-2.3420532,-0.5096567,-1.8397417,0.1088342,0.4000757,-0.6232569,-0.1918886,-0.4268204,-0.2089762,-1.4880615,-0.5414932,-1.5012372,-1.4157155,-0.9135630
-0.0745002,-0.2864604,-0.4155503,-0.6377472,0.4855162,0.5790144,-0.7563856,-1.7156712,-0.5800245,-1.1531721,-0.5273848,0.0526681,-0.1799101,-0.1851753,0.1629990,0.2448104,-1.2454727,-0.3419072,-1.1086119,-1.2391704,-0.8746547
0.2902387,0.0008140,-0.3892471,-0.2238459,0.8454343,1.1069754,-0.1957119,-1.8162508,-0.0386522,-1.5566065,0.2731274,0.5338631,-0.2091336,0.3133120,0.0112132,0.0606615,-1.1309677,-0.0562656,-0.9749431,-0.9446390,-0.1374304
0.4593602,0.4188886,-0.3148319,-0.0129719,0.9943785,1.6311612,0.2957351,-2.0994413,-0.0736348,-2.0664468,-0.0166914,0.6457365,0.2774295,0.7319706,0.5171770,0.4946908,-1.1192471,0.6031274,-0.7279329,-0.5445740,0.2392852
0.4195598,0.3144309,-0.3898776,0.4814099,1.1259888,1.8261862,0.4583690,-1.4640449,0.0942017,-1.3787372,0.0759363,0.0182594,0.6335973,0.9454037,0.7379096,0.6956877,-0.3054015,0.8747805,-0.4360453,-0.0864839,0.6226432
0.1954148,-0.1763591,-0.5015439,0.4935119,1.0340385,1.8380272,0.0412748,-1.5267022,0.0982250,-0.4680823,-0.1250281,0.4846805,1.0559894,0.9817056,0.3724003,0.6757448,-0.3421893,0.3601450,-0.0794711,-0.0438315,0.2246643
0.0670360,-0.1342661,-0.5686218,-0.3309988,1.2841955,1.7185977,0.0843536,-1.2932473,0.5488538,-0.4046732,-0.0891489,0.6588104,0.3789620,0.5016927,0.5778869,1.0250983,-0.4716341,0.1374348,0.0047023,-0.2119212,0.3583020
0.1363052,-0.0108006,-0.2029501,-0.3895810,0.9154714,1.6595984,0.1200718,-0.8915739,0.6952471,-0.3867113,-0.2546529,0.1246182,0.1486430,0.5300705,0.8438271,1.3581922,-0.4148031,0.2118598,0.5589147,0.2550106,0.6726868
0.3827511,0.0812207,-0.2988505,-0.2311557,1.1671665,1.5019544,0.3091685,-0.6530608,1.3148907,-0.9440248,-0.1391542,-0.1186739,0.2947671,0.3210432,0.7570996,1.1714339,-0.0467596,0.6622324,0.8559110,0.5664139,1.1043020
0.4082226,-0.0605784,-0.3412348,-0.2620952,1.2946411,1.1839507,0.2852967,-0.8160351,1.3336935,-0.5140638,0.0094496,0.4987653,0.6329043,0.7103508,1.2328473,1.5867610,0.1097935,0.9566336,1.0103748,0.8731422,1.1027715
0.6446043,0.1387353,-0.4131450,-0.0438511,1.0383244,1.2781872,0.4567248,-0.6629539,1.4704021,-0.0798752,0.2743193,1.1979758,0.7148415,0.7052703,0.9726912,1.8465531,0.3363422,1.1642034,0.9678732,0.9897531,1.1308310
0.7454371,0.0650863,-0.2186673,0.0735946,1.2563199,1.5374068,0.3387083,-0.6835877,1.6478859,0.1694988,0.5193228,0.6843134,0.6832893,0.7058577,1.0418589,1.9963803,0.4547471,1.2124966,1.3627023,1.1443894,1.2604591
0.4914119,0.1671548,0.1702504,-0.0600631,1.1379104,1.6369637,0.3392743,-1.3205810,1.0777687,0.2311967,0.5819300,0.8663296,1.3424212,1.1596215,1.0907760,1.9669447,0.5395471,1.3803172,0.8728597,1.0116904,1.1875551
0.0623998,0.2634180,0.1954702,0.2810706,0.7102133,1.3529433,0.4655486,-1.3168914,0.9630266,-0.1205435,-0.1095007,1.0107074,1.1027710,1.0061146,0.5234705,1.2661573,0.3683583,0.7607011,0.4600774,0.2858257,0.5526856
0.4754422,0.8729978,0.1544927,-0.1531230,1.2100571,1.9515940,0.2853013,-1.2809489,0.3176116,-0.3565608,0.5299832,0.7507169,0.9349420,0.7699195,0.5130319,1.2257118,0.0012935,0.4339831,0.0636119,0.1048088,0.2187608
0.5849187,0.7777464,0.1041035,-0.3719891,1.3192425,2.1020694,0.2434122,-1.5447814,0.7192171,-0.1687059,0.5215581,0.6240214,0.8296226,0.8456368,0.4310351,1.1053022,-0.4219363,-0.2190179,-0.0479904,-0.5342814,-0.4678106
0.2356331,0.0677450,0.1021058,-0.4138723,1.2286897,1.7500488,0.0231017,-1.3786221,0.5450177,-0.4619144,0.2129703,0.8823804,0.8244086,0.5275701,0.0851395,0.9556313,-0.7868195,-0.1660043,-0.0891386,-0.6748780,-0.5080037
0.5420582,0.2886637,-0.2727569,-0.3224733,1.3490514,1.3863231,0.0823431,-1.3233106,0.5637532,-1.3674147,-0.2630143,0.8035583,0.8820361,0.4976149,0.1394418,1.0047271,-0.6669039,-0.0769879,0.0632660,-0.6029655,-0.2834234
0.3712145,0.1301939,-0.2750716,-0.4797581,1.5299628,1.0910403,0.0455176,-1.2376453,0.6453980,-1.1162465,-0.5899549,0.2234137,0.3751463,0.2910434,0.3192831,0.7320436,-0.3045397,-0.3593968,-0.1894043,-0.4058484,-0.2847436
0.1118168,0.2673983,-0.1595931,-0.4047456,1.4070618,0.7913721,-0.0101851,-1.3209853,0.2957820,-0.6968538,-0.7328665,0.6302539,0.3070961,0.4361002,0.3485517,0.6917785,-0.2931993,-0.3288873,-0.3616990,-0.4391373,-0.2853587
-0.0826389,0.3462017,-0.5882946,0.1528179,0.7501845,1.2888340,0.0009041,-1.4102122,0.7771716,-1.1222433,-0.8219461,0.8917802,0.8072228,0.5716826,0.0796062,0.6212643,-0.2654247,0.1067851,-0.0666749,-0.2124921,-0.2641149
0.2853357,0.3136382,-0.0580162,-0.2395854,0.3913376,1.5809889,-0.0089561,-1.5299947,0.6001169,-0.8917691,-0.2588109,0.2673420,0.4215502,0.2847366,0.1038605,0.3824015,-0.4900121,-0.1207261,-0.0622523,-0.2255602,-0.7728950
0.1762608,-0.3926086,-0.6761439,-0.5290810,0.7196541,1.6005607,-0.3564974,-1.8556070,0.3252773,-1.4202193,-0.2130680,0.4533464,-0.1715848,-0.0712015,0.0159837,-0.1897980,-0.8411469,-0.6384633,-0.2140888,-0.7061859,-1.0977371
0.0114992,-0.7690892,-1.1779877,-0.0032930,0.8422744,0.7327471,-0.7237712,-2.0448117,-0.2638743,-1.3524150,-0.1960584,0.5952397,-0.6807901,-0.4094672,0.2753889,0.2120976,-0.9650453,-0.8641257,-0.2569340,-0.8003365,-1.1027130
0.1884905,-0.9900991,-1.5067974,-0.0915063,0.4657606,0.3574963,-0.9005875,-1.3046108,0.2654501,-1.4888014,-0.0386048,-0.0432338,-0.4741639,-0.3659037,0.9232761,0.2718023,-0.8798957,-0.6869684,-0.2676633,-0.7781172,-0.6320581
-0.2474255,-0.4538400,-1.8925588,-1.0349271,0.5355974,0.5520379,-0.9772235,-1.1785458,0.4793387,-1.2805355,-0.3017694,0.2039872,-0.3430187,-0.2203158,0.8058748,0.6592479,-0.2308697,-0.0159895,-0.1717609,0.1472190,-0.0251305
-0.8201014,-0.4902113,-1.8262756,-1.0498651,0.2406133,0.5488546,-1.0799648,-1.8213012,0.2234967,-0.6209075,0.2161627,0.5521725,-0.2205056,0.0128246,1.2930617,1.2604160,-0.0919967,-0.0360396,0.2390094,0.4832381,0.3665977
