F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-2.0483801,-1.6669937,-1.5140810,-2.3126578,-1.4205675,-1.3086803,-1.0772800,-0.3763183,-1.1676214,-1.0348668,-0.5106607,-0.0112414,-0.1775665,-0.8555584,-1.5416090,-1.6103172,-0.8778750,-2.0800867,-0.6242772,-0.5547334,-2.1721861
-2.3909404,-2.0529692,-1.6631503,-2.4249027,-1.4686089,-1.5964755,-1.2251729,-0.6434010,-2.2408476,-1.0992835,-0.5131430,-0.3662212,-0.7974294,-1.9436709,-1.8075800,-1.6472188,-1.0778170,-2.7868993,-1.1665609,-1.1462567,-2.6357222
-2.2176752,-1.5074511,-2.1031399,-2.2575326,-1.6397204,-1.6916484,-1.0402139,-0.5959297,-2.4619253,-1.0322063,-0.0879935,-1.0103775,-1.0896550,-2.4973910,-1.8019145,-1.4042510,-0.9411232,-2.1832769,-1.5715044,-1.2377702,-2.5816228
-2.3254626,-1.8832929,-2.4031403,-2.3438551,-1.7734507,-2.0288613,-1.5384079,-0.6866593,-1.8232785,-0.7137350,-0.0856594,0.2431551,-1.0263674,-2.2360103,-1.9521809,-1.8418409,-1.4019294,-2.8175235,-1.8472075,-1.2858317,-3.2000499
-2.2032266,-1.9240479,-2.8259072,-1.7871143,-1.8381870,-2.8144243,-1.4558153,-0.8673019,-1.7555225,-1.0610563,-0.3260109,-0.1118119,-1.1538713,-2.2116539,-1.7821372,-1.8842485,-1.4030598,-2.6752980,-2.1093524,-1.4590479,-2.8336532
-1.7856729,-1.7071770,-2.3985195,-1.9441609,-1.2639438,-2.0943589,-1.2083521,-0.3596857,-1.2491767,-1.1090318,-0.2430662,-1.1708355,-0.7929091,-1.9883505,-1.7788993,-1.6875985,-1.6425232,-2.5496292,-1.9884746,-1.4553969,-2.5469301
-1.9106079,-1.8585072,-1.8718609,-2.2495892,-1.6612852,-2.0470374,-1.2900969,-0.6551127,-1.5833133,-0.9914250,-0.1935274,-0.7728618,-0.7339989,-2.1730657,-1.8928308,-1.8436223,-1.8730490,-2.6770468,-2.0071440,-2.0182602,-2.8165710
-2.4746761,-2.2824874,-2.2332585,-2.1934373,-2.6814566,-1.9119051,-1.7129548,-0.9006808,-2.5329320,-1.1558324,-0.4079753,-0.2541317,-1.0777152,-2.4090354,-2.4841230,-2.6193743,-2.6235676,-3.0218725,-2.1823294,-2.7984941,-2.9371293
-2.1592057,-1.4458084,-1.7465876,-2.0324543,-2.8027587,-1.9482195,-1.6022977,-0.7046189,-2.6790764,-1.6178763,-0.7275797,-1.5527443,-0.9879743,-2.4644434,-2.0003109,-2.6506970,-2.7084799,-2.5683088,-2.3253472,-3.0601785,-2.9416833
-2.0378435,-1.6773026,-1.7203845,-2.1066992,-1.9679973,-1.4046137,-1.0226614,-0.6777346,-2.1306198,-1.8141041,-0.3467064,-1.5970329,-0.7289690,-1.8301122,-1.6543529,-1.9924845,-2.1786273,-2.2550619,-1.9200250,-2.7003591,-2.5794671
-1.8279362,-2.2451854,-1.5027587,-1.9976355,-1.7767073,-1.6128471,-1.1725036,-0.7451476,-1.5346681,-0.9089718,-0.4193910,-0.2680549,-0.6734316,-1.5371430,-2.0080040,-1.6335989,-1.6205626,-1.5961102,-2.0896046,-2.2043712,-2.3446248
-1.9860419,-1.7975385,-1.4822148,-1.7724490,-2.7284057,-1.7552202,-1.0953984,-0.6886425,-1.9432052,-1.0743518,-0.1527939,-0.3827728,0.0966115,-1.2340537,-1.6570312,-1.2790747,-0.6879784,-1.4835602,-2.0139751,-2.0727489,-2.0442786
-2.1678588,-1.3542935,-1.7000418,-1.8511342,-1.4912862,-1.0029444,-0.7720891,-0.5816926,-1.6159438,-0.5930623,0.4911968,-0.4091217,0.3903030,-1.0262960,-0.3494343,-0.9454281,-0.5594293,-1.4570118,-1.0659839,-1.2880105,-1.3637615
-1.9311053,-2.1473134,-0.9228039,-1.8763001,-0.8343644,-2.0886428,-0.8582712,-0.4526332,-1.1619499,-0.2137880,0.4151705,0.2255388,0.4906226,-0.9413941,-0.4047544,-1.1517370,-0.4438249,-0.9566569,-0.5987336,-0.2395335,-0.8348963
-1.6900476,-1.8329561,-1.6659729,-1.3071759,-2.2696619,-1.6334132,-0.7928599,-0.3261413,-1.1594853,-0.8289793,0.0017713,-0.1789941,0.2044224,-1.0918015,-0.3072599,-0.6123028,-0.9214926,-1.0728256,-0.5659924,-0.0783731,-0.7701614
-1.7265946,-1.4969697,-1.6913842,-1.6495162,-1.4516729,-1.2012365,-1.1366535,0.0070575,-1.3279024,-1.0996181,-0.3366257,-1.7255371,-0.1949719,-1.3592770,-0.3470407,-1.0728974,-0.8161961,-1.2422923,-0.3350500,-1.0302591,-0.8614894
-1.7200336,-2.1007712,-1.3472703,-1.1088649,-0.5448577,-0.7478998,-1.1277485,0.1237649,-1.0055547,-0.5099420,-0.0282552,-1.1948013,0.1513400,-0.9448414,0.0856218,-1.3252451,-0.2404157,-0.5929189,-0.0197145,-0.7006475,-0.4424771
-1.5202960,-2.1333344,-1.2134671,-1.0309012,-1.0474865,-0.8167094,-0.6621238,0.2736187,-0.4405678,-0.0791901,-0.0661833,-0.1826381,0.5652971,-0.2034911,0.3850040,-0.4875897,0.0487036,0.1891559,0.6681107,0.5841785,0.2659684
-1.1626788,-1.8729758,-1.1507486,-0.3204094,-1.0132993,-0.1687081,0.0005656,0.2644030,-0.1108637,0.1331831,0.2270131,0.0475649,0.5003750,0.5382991,1.0172583,-0.0649252,1.1361905,1.0584009,1.3106387,1.2908492,0.9000680
-0.8898363,-1.8471134,-1.0287952,0.0958202,-0.1149439,-0.7643257,-0.0544924,0.3748591,-0.5349740,0.2154165,0.5156434,0.1322587,1.2891816,0.5499986,0.7128019,0.4627569,1.1199864,0.7552347,1.0837554,1.2532158,1.4193516
-0.9123955,-1.8922426,-1.0771108,-0.8791557,-0.3939031,0.0523288,-0.1833454,0.4594674,-0.1221074,0.9177372,0.3015371,1.2976515,0.9660870,0.6180501,0.8317457,0.5044953,0.6880019,0.2952191,1.1036538,1.3136806,0.6762145
-1.7538270,-2.3294039,-2.0538638,-1.3251423,-1.1559763,-0.4524083,-0.2416733,0.2145798,0.0203249,0.6950312,0.5092620,1.1925521,0.4717850,0.1995712,0.7318661,0.7355214,0.8231186,0.7586458,1.3122977,1.4560844,1.0555427
-1.3932852,-1.5869724,-1.4072771,-0.5002006,-1.0095155,-0.8121788,-0.0066718,0.2682287,-0.5427508,0.2576350,0.2974142,0.7542974,0.3846643,0.1887154,0.5297960,0.0146430,-0.1443179,0.2248786,0.8975291,1.3453121,0.1321558
-0.1374782,-1.1902353,-0.3295758,-0.3647240,-0.2053358,-1.1232390,0.0390729,0.3651827,-0.0926431,0.0834810,-0.5264240,-0.2403770,0.3441713,0.2193104,-0.1937975,-0.9456805,-0.8328095,-0.2721424,-0.1551235,-0.1489612,-0.5189031
-0.3337044,-1.3330907,-0.3391642,-1.1032124,-1.4379625,-1.7332993,-0.4465435,0.2468530,-0.8424818,-1.0615427,-0.9023821,-0.6336997,-0.1425829,-0.3868895,-0.9233183,-1.6761245,-1.6458861,-0.9371701,-1.2156847,-1.4572153,-1.0728612
-0.7385565,-1.0143282,-1.3132397,-1.5901976,-1.7051270,-1.8928930,-0.9348085,0.0869318,-1.7274288,-1.4869496,-0.8120594,-1.5342932,-0.5782238,-1.4477377,-1.8054756,-2.1987040,-2.4859202,-2.4333978,-2.2739182,-2.0720782,-2.1072929
-0.9818884,-1.0919712,-2.3652840,-1.5943217,-1.6436450,-1.6576045,-1.3407558,-0.2215683,-2.1801147,-1.1812252,-0.9835262,-1.4622805,-0.9884109,-2.3250148,-2.8968325,-2.9740944,-3.1740768,-3.0579679,-2.4567311,-2.5111008,-3.0051317
-0.9332695,-1.6070228,-2.4117746,-1.7336395,-1.9310789,-1.5302596,-1.7116340,-0.5210036,-2.0747235,-1.3745458,-1.2993532,-1.0377750,-1.0312867,-2.2112095,-2.8804028,-2.9930012,-3.1806164,-3.3277674,-2.5464182,-2.8994610,-3.2582419
-0.8221698,-1.5610176,-2.5202925,-1.9991924,-2.2460387,-1.7579392,-1.6119170,-0.3334525,-2.1589653,-1.6700343,-1.2007847,-2.0441298,-0.8807500,-2.5679479,-2.5781345,-2.1945319,-2.7470911,-3.3785627,-2.3723450,-2.1683254,-3.1558034
