# F3,F4,T3,T4,C1,C2
-100.513,-172.335,-186.965,-78.282,-78.472,-115.523
-102.033,-175.755,-191.715,-77.902,-80.372,-122.743
-103.363,-173.475,-184.685,-81.512,-81.702,-129.964
-98.613,-167.775,-183.355,-85.502,-81.132,-129.204
-95.383,-163.215,-185.255,-80.372,-80.752,-123.883
-96.523,-165.875,-186.395,-81.512,-80.562,-118.183
-97.663,-166.635,-187.535,-83.602,-82.652,-123.313
-102.793,-168.915,-186.585,-82.272,-79.042,-125.214
-101.843,-166.255,-188.675,-82.842,-77.332,-119.893
-100.133,-169.675,-191.145,-83.412,-80.182,-113.813
-99.563,-172.145,-182.975,-87.782,-81.322,-116.093
-101.083,-174.425,-181.455,-91.963,-80.942,-126.544
-97.473,-172.145,-180.885,-94.623,-80.942,-127.494
-95.193,-172.145,-181.265,-93.293,-76.762,-124.073
-91.013,-167.775,-182.215,-89.493,-76.002,-123.123
-90.443,-163.595,-183.165,-82.272,-75.812,-128.444
-91.393,-166.445,-181.645,-77.902,-76.952,-122.553
-92.913,-169.865,-181.645,-75.432,-79.612,-116.473
-89.303,-169.295,-180.695,-75.242,-79.802,-116.853
-86.072,-169.675,-175.565,-78.282,-81.892,-123.503
-91.393,-173.855,-180.315,-80.942,-81.322,-122.743
-94.243,-174.235,-183.925,-81.512,-79.042,-117.233
-94.053,-173.855,-182.025,-82.842,-78.472,-121.223
-94.433,-174.235,-178.985,-86.642,-82.842,-126.734
-98.803,-177.465,-181.455,-88.732,-79.992,-126.924
-101.083,-176.135,-186.015,-85.692,-76.192,-124.644
-96.333,-177.655,-187.915,-88.732,-79.422,-126.544
-96.333,-174.045,-184.115,-89.683,-81.132,-129.204
-97.663,-175.185,-183.355,-88.542,-83.222,-130.344
-100.893,-173.665,-188.105,-88.162,-82.082,-123.503
-99.753,-173.855,-189.055,-88.542,-84.742,-122.743
-99.563,-175.375,-191.525,-88.542,-85.692,-128.254
-99.943,-176.325,-192.095,-90.443,-81.322,-131.484
-102.603,-181.645,-194.185,-94.243,-80.372,-125.974
-106.973,-182.975,-193.235,-95.383,-79.992,-118.373
-104.313,-178.605,-187.535,-95.193,-79.992,-118.753
-99.183,-180.695,-190.575,-95.383,-81.322,-125.404
-95.193,-183.355,-192.285,-94.053,-81.132,-121.793
-91.963,-176.705,-190.005,-91.963,-79.612,-119.703
-88.542,-172.715,-186.205,-90.443,-79.992,-125.784
-92.533,-169.865,-184.115,-89.113,-81.892,-130.534
-94.433,-170.815,-188.105,-90.823,-82.272,-127.114
-100.513,-175.185,-191.335,-89.113,-80.562,-123.693
-104.313,-175.755,-192.095,-89.113,-78.852,-127.304
-103.743,-177.085,-191.335,-91.963,-81.132,-131.294
-106.783,-176.325,-193.995,-95.953,-83.412,-127.874
-106.023,-173.475,-193.235,-95.193,-82.082,-119.133
-107.163,-171.005,-191.335,-95.383,-83.982,-122.553
-102.413,-175.565,-189.625,-94.053,-83.412,-128.444
