F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
-1.1083211,-0.1466901,-0.0566979,-0.4106572,0.6385202,1.0597920,-0.0764290,0.9034955,0.0115319,-0.9163668,-1.1378021,0.7640065,-0.0308179,0.5702484,-0.5115052,-0.1492208,-0.9015015,0.0876046,-0.1302664,-0.1187243,-0.1137644
-0.7369550,-0.7056048,0.1016161,0.4115047,0.5864464,1.6148515,0.1853430,0.9551788,0.1712400,-1.0141244,-1.9862821,1.0384986,0.1772123,0.8653558,-0.1450670,-0.1664378,-0.9600928,0.3753031,-0.2032157,-0.2140223,-0.1595263
0.0554653,-0.6693429,-0.6217055,0.3713433,0.3360933,0.6971259,0.0170764,0.8813710,-0.1624093,-1.0729152,-1.6735445,0.7610205,0.1145369,0.8460116,-0.2773972,-0.1760401,-0.7818291,-0.0189909,-0.0002805,-0.0562896,-0.1051692
0.7292905,-0.3430667,-0.6601534,0.2295223,1.3866291,1.0091784,-0.1387570,1.3595948,0.7684537,-0.5512111,-1.5002341,0.6881953,0.1056250,0.7385186,0.1805369,0.5653575,-0.1924685,0.2631913,0.4728124,0.3887976,-0.0771555
0.6548875,-0.5376055,-0.4713579,0.4084036,2.0039985,1.3406394,-0.1950848,1.5710812,1.3737444,0.1952438,-1.2482958,1.1675397,-0.2096695,0.3510049,0.1631687,0.7198377,-0.3523332,-0.0704525,0.6573660,0.4755795,0.2134012
-0.2370642,-0.5799564,-0.7852886,0.2684180,1.2245326,0.8100822,-0.2248453,1.3432720,0.7139065,0.1152804,-1.1689136,1.4591373,-0.2746353,0.1697897,0.1689234,0.8102812,-0.4336388,-0.0783294,0.7019213,0.4340360,0.1484908
-0.4313599,-0.2973811,-0.9437685,0.5749241,1.3595617,1.2036386,-0.0917917,1.1365091,0.7619869,0.1636159,-0.7964342,1.0920085,-0.1847338,0.2276343,0.1411832,0.9572240,0.1434442,0.2830400,0.8352052,0.6344919,0.4036583
0.1400793,-0.2009483,-0.5252107,0.7928663,0.8088127,1.0707113,-0.2587831,1.1765987,1.2262229,0.5434904,-0.3484475,1.4658051,0.1029690,0.6676880,0.2403715,0.9651241,0.2175058,0.0660222,1.0148540,1.0587877,0.4272800
-0.3152249,-0.3089280,-0.1152188,0.4886248,0.6932130,0.5141029,-0.0445699,1.1040225,1.1392950,-0.1374256,-0.8069916,1.6876270,0.1079111,0.3983148,0.6289766,1.2168059,0.6447163,0.4060425,0.6905529,1.0992597,0.6694765
-0.4312155,-0.4483977,0.1535268,0.7271823,0.7736584,0.8556731,0.1937995,1.2957605,0.9674406,0.4461036,-0.9474989,1.5855007,0.5721170,0.6209760,0.2865412,1.0753437,0.6785638,0.6586480,0.8425348,1.0605699,0.9648649
0.0828314,0.0066375,-0.2237495,0.3992160,1.2946547,1.5262268,0.1094693,1.1797005,1.1348586,0.2120469,-1.1132402,1.0364648,0.6518148,0.7625691,0.2544436,1.3373005,0.6410701,0.8461439,0.6750693,1.0329784,1.0718825
0.1588521,-0.1904363,-0.1488392,0.0301134,1.1019434,1.5745126,0.3695455,1.2704296,0.8726723,0.3931322,-1.3107628,1.4742948,0.7240735,0.8384060,0.5684853,1.1065034,0.5240026,1.0966682,0.5679340,1.3849112,1.4851964
0.1677772,0.1468528,-0.1804005,0.8726714,1.0131378,1.2764615,0.7614942,1.3519930,1.1092590,0.4949664,-1.2396492,1.3771929,1.2737310,1.1218499,0.9850941,1.5220791,1.1303916,1.6159766,1.1147901,1.4968127,1.9061862
0.0813797,0.3106062,0.4138963,0.8965383,1.1522101,1.7237471,0.7797066,1.6470957,1.4846179,0.6987293,-1.1654491,1.2028106,1.1260967,1.3272903,1.0314776,1.7002176,0.9575871,1.2788354,1.3197670,1.5550911,1.5189960
-0.0301339,-0.0946116,-0.0420731,0.5544832,1.1161047,1.4454932,0.5102907,1.4374974,1.2493078,0.4164684,-1.3535005,1.6363181,0.9863722,1.3061967,0.8446133,1.0144246,0.6626348,0.8015414,0.9204209,1.3491642,1.0414070
-0.0784850,-0.0949216,-0.6033389,0.3259462,1.0721179,1.3760566,0.2370798,1.4308805,0.8596231,-0.4815987,-1.1469861,1.4228611,0.8576250,1.1160364,0.7257233,1.0127528,0.1798901,1.0070449,1.0180634,0.9589803,1.0681112
-0.1764014,-0.2617622,-0.5353131,0.4090598,0.8768758,0.8164116,0.1689294,1.2817827,0.7015252,-0.1194025,-1.0491632,1.4109199,0.4938861,0.3849525,0.5508539,0.8079440,0.1735027,0.8317705,0.7878324,0.5887082,0.7498629
-0.3454802,-0.4094923,-0.2937693,0.7596706,0.8520327,0.7006028,0.5081781,1.4286108,0.7699187,0.1374057,-1.1812286,1.6674929,0.1811691,0.5781081,0.7567474,0.9636075,0.0093443,0.5469237,0.8624730,0.5386935,0.9344019
0.1076379,0.0523641,0.4591730,1.2858577,1.4035006,0.8348051,0.5273668,1.8374419,1.3974013,0.4495455,-1.2870446,1.6396021,0.2856169,0.9295951,1.0907835,1.3037450,-0.0992810,0.6441330,1.1708944,0.8580103,0.8604182
