F3,F4,T3,T4,C1,C2
0.1117548,0.1029759,1.3121570,1.8922585,0.0937094,1.4374400
-0.1295298,-0.2154603,1.5165656,2.0756450,-0.3165011,0.3369803
0.0388255,0.4878769,1.7334533,1.4475594,-0.4832409,-0.3792012
0.6067570,1.5723881,1.7156173,1.7124462,-0.2848916,0.3105068
0.5835307,1.3739158,1.5942791,1.7562519,-0.3570439,1.0644188
0.2615744,0.9814940,1.5861143,1.5576481,-0.5349507,0.4321338
-0.1471349,1.0039977,1.5724901,1.6767405,0.2690471,0.4957341
0.1619216,0.9462000,1.4051839,1.5659275,-0.0720871,1.6028348
0.1690595,0.1679430,1.7351031,1.2179446,-0.4075332,1.3372450
0.1566968,0.0849930,1.8825099,0.6962714,-0.3957039,0.0126921
0.5667055,0.2571203,1.8590343,0.6115119,-0.0134354,0.2147473
0.9861490,0.7530159,1.8385137,0.9135380,0.6102105,0.5736158
1.2269419,1.6280878,1.7638568,1.6616106,0.5156499,-0.0173049
0.9808301,1.0041001,1.8611239,2.1264231,0.2857172,0.8107047
1.0732312,0.6450474,1.8271916,2.3213916,-0.2139205,1.4885578
1.5924010,0.7516820,2.0835228,2.1032989,-0.3147671,0.6795974
1.1319011,0.0529623,1.9238857,1.7829851,-0.5519875,0.5981475
0.7202754,-0.0274304,1.7219603,1.7289618,0.2324801,1.2663379
0.8626037,0.0282079,1.9219763,1.4564991,-0.4208322,0.3452314
0.3892610,-0.3711563,1.9014361,1.1098617,-0.3507893,0.0771324
0.1217356,-0.4832474,1.6265479,1.3221996,0.4115947,0.3047646
0.5724774,-0.3557135,1.5791062,1.0598359,-0.1104839,0.1012412
0.5212872,-0.0748233,1.7831855,1.0485133,-0.6520151,-0.3891367
0.1553310,-0.0475205,1.5981290,1.1557654,-0.5887340,0.2804311
0.1744252,0.0432851,1.4650568,1.1064750,-1.0374029,0.6143412
0.2296189,-0.2452132,1.3766487,1.1006312,-1.0253410,-0.2664346
0.0792094,-0.7103310,1.2914367,0.7601488,-0.2345578,-0.2493450
-0.4680677,-1.5248617,1.2628816,0.5068725,-0.2305668,0.9799513
