# F3,F4,T3,T4,C1,C2
-114.573,-184.495,-225.156,-87.592,-82.272,-114.953
-111.723,-182.025,-231.236,-88.352,-80.562,-113.433
-108.113,-186.775,-233.517,-87.592,-83.982,-115.523
-101.653,-190.005,-227.436,-86.832,-80.752,-116.473
-98.423,-188.485,-221.926,-90.633,-78.092,-117.613
-99.943,-187.915,-217.176,-93.483,-74.482,-111.153
-105.073,-189.435,-221.356,-96.333,-72.772,-108.683
-110.013,-191.525,-226.676,-97.093,-76.762,-111.343
-106.403,-190.955,-225.536,-92.723,-70.872,-111.913
-103.743,-186.585,-227.246,-90.253,-73.342,-107.543
-108.303,-185.825,-227.056,-93.103,-75.812,-106.213
-108.683,-181.455,-224.206,-91.963,-72.962,-106.023
-106.593,-185.255,-224.966,-88.162,-72.962,-111.723
-103.363,-185.255,-225.536,-89.113,-73.532,-112.293
-103.933,-185.255,-224.016,-86.452,-72.772,-107.733
-103.933,-185.255,-222.496,-84.362,-71.252,-109.253
-103.743,-181.455,-216.986,-80.752,-71.632,-112.293
-105.643,-180.885,-218.506,-81.702,-69.922,-107.923
-105.073,-187.535,-221.356,-81.132,-75.812,-106.973
-106.213,-188.105,-221.166,-85.692,-78.282,-109.443
-106.403,-188.675,-223.636,-93.673,-76.382,-109.253
-108.113,-186.965,-222.686,-92.343,-74.292,-106.593
-106.213,-182.215,-215.656,-87.592,-73.342,-106.023
-103.173,-179.555,-209.766,-86.452,-72.012,-107.733
-104.883,-178.795,-206.916,-90.633,-75.052,-111.153
-103.363,-177.085,-209.386,-91.393,-75.812,-107.543
-100.513,-177.845,-213.186,-88.542,-77.902,-105.643
-99.183,-178.035,-211.476,-81.132,-76.762,-101.653
-98.423,-178.225,-213.186,-77.902,-73.532,-104.313
-97.663,-178.985,-215.466,-81.512,-72.202,-105.833
-97.853,-178.415,-215.276,-86.832,-76.572,-102.223
-101.273,-178.225,-214.326,-83.602,-76.002,-101.273
-100.893,-181.265,-214.706,-84.172,-79.042,-110.013
-103.553,-183.545,-215.656,-91.583,-76.762,-115.143
-105.643,-182.595,-215.466,-89.683,-73.342,-111.343
-104.693,-181.455,-216.036,-84.172,-72.392,-105.263
-105.453,-181.455,-212.616,-82.082,-71.062,-108.113
-105.453,-180.885,-207.486,-81.892,-70.302,-110.583
-100.893,-178.795,-212.046,-79.992,-68.592,-102.983
-101.653,-179.555,-212.236,-73.532,-68.592,-101.273
-100.513,-178.795,-211.096,-71.062,-69.732,-102.793
-99.373,-177.465,-209.006,-74.102,-71.252,-107.733
-105.833,-181.645,-213.756,-78.092,-74.102,-111.533
