F3,F4,T3,T4,C1,C2
0.2288921,1.0523123,-1.7074648,0.7556767,-0.0760738,0.1571168
0.3625473,1.2535660,-2.1732426,0.9536430,0.3744056,0.6087194
0.2235528,1.2773719,-2.0515091,1.4955270,-0.0323528,1.6771325
0.2551334,1.7095703,-2.1739645,1.4680047,-0.2016616,2.0308983
0.3619271,1.8068455,-2.1001482,1.7281827,0.0566936,3.0415998
0.3040116,1.7572881,-2.1645827,1.9691027,0.3737123,2.8121331
0.4868187,1.9663705,-1.9798901,1.7540034,0.0593137,2.3115280
0.2588746,1.7440746,-2.1952078,1.4400306,0.0508482,1.3162206
0.1587317,1.2130064,-2.3007159,0.9227999,-0.0076018,2.2140613
0.1568750,1.3468927,-2.1925483,0.9385321,0.1571745,2.1641781
0.4146297,1.1079957,-2.0857425,1.0359151,0.4689109,0.9627764
0.3343185,1.6947312,-2.2414398,1.2456189,0.3268330,2.0493615
0.2752120,1.4625123,-2.2873211,1.3804996,-0.1724105,1.9008172
0.2102935,1.6734109,-2.2952874,1.6571047,-0.4656672,0.9284561
0.1944579,1.6046144,-2.2189970,0.9904661,-0.0871185,1.9148078
-0.1443984,1.4125603,-2.1951604,0.4066333,0.2035936,2.1109645
-0.0359824,1.6360977,-2.1725786,0.3944119,-0.1751728,1.2905140
0.1516413,1.4743569,-2.3191037,1.2158426,-0.1851657,1.8113289
0.3066922,1.1724623,-2.4234960,0.9129610,0.1940553,2.6760089
0.1212957,0.9103151,-2.2891467,0.8874640,0.1861377,1.0412333
-0.0735675,1.0732191,-2.3369756,0.5835780,-0.0347156,-0.1985920
-0.2387413,1.2684224,-2.5019698,0.1155802,-0.8002430,1.0610125
-0.2267509,0.8248448,-2.5155559,-0.3465229,-0.9096708,1.0126845
-0.0425932,0.9800908,-2.3605089,-0.1276231,-1.1905837,0.4202341
-0.3184342,0.8567379,-2.2982371,0.0452663,-0.7865346,0.6755698
-0.5355951,0.8597016,-2.3691206,0.3263026,-0.7190329,1.4674970
-0.2676976,1.1349792,-2.3454041,0.2487696,-0.7985086,0.3580684
-0.1090019,1.1107973,-2.4580879,0.3319149,-1.1190279,0.2379641
-0.0079921,0.9267634,-2.5254111,-0.2319739,-1.3749847,-0.0702154
-0.1685591,1.3783979,-2.5686166,-0.4296730,-1.4720622,-0.3967552
-0.1796755,0.8687017,-2.5849581,-0.0879064,-1.3775774,-0.5461236
-0.2915792,0.1900267,-2.5266252,-0.0526161,-1.2371689,0.1772524
-0.2014401,0.5787847,-2.5006406,0.0034671,-0.9750126,0.5202439
-0.0952100,0.6961015,-2.3444674,0.6027670,-0.6304550,-0.0712737
0.2014423,1.2738444,-2.1237504,1.1021123,-0.4653306,0.6882960
-0.6871193,1.1617141,-2.2606490,0.7419731,-1.2267146,0.4843277
-0.9445281,1.0573312,-2.6085422,0.6666108,-1.2596582,-0.0474168
0.4765571,1.5216575,-2.4372599,0.6896805,-0.5016683,-0.2258531
1.0937260,1.5001922,-2.2898400,0.4499128,-0.4925378,0.7938966
0.6336457,0.9838659,-2.3055451,-0.0972677,-0.4694229,0.2377584
0.8663267,1.0137144,-2.2875974,0.1753342,-0.1672183,-0.3271945
1.1201395,1.1839275,-2.2345603,0.5055115,-0.0244856,0.5882948
0.7612756,0.7890808,-2.1520071,0.3407809,0.1216720,0.2857822
0.9043258,0.7126681,-1.9880581,-0.2178345,-0.1280008,-0.7167270
