F3,F4,T3,T4,C1,C2
-2.0483801,-1.5140810,-0.3763183,-0.8555584,-1.0348668,-0.0112414
-2.3909404,-1.6631503,-0.6434010,-1.9436709,-1.0992835,-0.3662212
-2.2176752,-2.1031399,-0.5959297,-2.4973910,-1.0322063,-1.0103775
-2.3254626,-2.4031403,-0.6866593,-2.2360103,-0.7137350,0.2431551
-2.2032266,-2.8259072,-0.8673019,-2.2116539,-1.0610563,-0.1118119
-1.7856729,-2.3985195,-0.3596857,-1.9883505,-1.1090318,-1.1708355
-1.9106079,-1.8718609,-0.6551127,-2.1730657,-0.9914250,-0.7728618
-2.4746761,-2.2332585,-0.9006808,-2.4090354,-1.1558324,-0.2541317
-2.1592057,-1.7465876,-0.7046189,-2.4644434,-1.6178763,-1.5527443
-2.0378435,-1.7203845,-0.6777346,-1.8301122,-1.8141041,-1.5970329
-1.8279362,-1.5027587,-0.7451476,-1.5371430,-0.9089718,-0.2680549
-1.9860419,-1.4822148,-0.6886425,-1.2340537,-1.0743518,-0.3827728
-2.1678588,-1.7000418,-0.5816926,-1.0262960,-0.5930623,-0.4091217
-1.9311053,-0.9228039,-0.4526332,-0.9413941,-0.2137880,0.2255388
-1.6900476,-1.6659729,-0.3261413,-1.0918015,-0.8289793,-0.1789941
-1.7265946,-1.6913842,0.0070575,-1.3592770,-1.0996181,-1.7255371
-1.7200336,-1.3472703,0.1237649,-0.9448414,-0.5099420,-1.1948013
-1.5202960,-1.2134671,0.2736187,-0.2034911,-0.0791901,-0.1826381
-1.1626788,-1.1507486,0.2644030,0.5382991,0.1331831,0.0475649
-0.8898363,-1.0287952,0.3748591,0.5499986,0.2154165,0.1322587
-0.9123955,-1.0771108,0.4594674,0.6180501,0.9177372,1.2976515
-1.7538270,-2.0538638,0.2145798,0.1995712,0.6950312,1.1925521
-1.3932852,-1.4072771,0.2682287,0.1887154,0.2576350,0.7542974
-0.1374782,-0.3295758,0.3651827,0.2193104,0.0834810,-0.2403770
-0.3337044,-0.3391642,0.2468530,-0.3868895,-1.0615427,-0.6336997
-0.7385565,-1.3132397,0.0869318,-1.4477377,-1.4869496,-1.5342932
-0.9818884,-2.3652840,-0.2215683,-2.3250148,-1.1812252,-1.4622805
-0.9332695,-2.4117746,-0.5210036,-2.2112095,-1.3745458,-1.0377750
-0.8221698,-2.5202925,-0.3334525,-2.5679479,-1.6700343,-2.0441298
-0.9988591,-2.5182149,-0.3895706,-2.5435119,-0.9875492,-1.6369278
-0.9770320,-2.2340751,-0.4413096,-1.8194811,-0.5525124,-0.5671170
-0.9189358,-1.3959988,-0.0553891,-1.1137816,-0.6330003,-0.5294487
-0.7287465,-0.9352237,0.0368831,-0.5809280,-0.7960974,-1.1549443
-0.5396140,-0.4092266,-0.1617293,-0.3863623,-0.7314585,-0.5452991
