# F3,F4,T3,T4,C1,C2
-112.293,-193.995,-242.257,-87.782,-78.282,-117.423
-111.723,-197.796,-247.767,-87.022,-76.952,-115.523
-108.493,-196.656,-251.567,-85.312,-74.482,-107.543
-105.643,-193.995,-247.577,-82.272,-72.202,-108.493
-106.023,-192.285,-243.207,-78.282,-73.532,-110.583
-106.783,-190.195,-242.067,-79.802,-74.672,-113.813
-107.163,-190.575,-242.637,-82.082,-73.912,-112.103
-109.823,-191.905,-240.357,-81.132,-78.472,-113.053
-110.013,-195.325,-241.307,-80.372,-82.462,-116.853
-114.193,-198.746,-243.397,-82.842,-77.142,-115.523
-117.613,-195.896,-246.247,-86.642,-81.512,-114.573
-117.233,-190.575,-244.727,-85.312,-79.612,-117.233
-112.673,-194.185,-241.687,-83.032,-77.902,-115.903
-110.963,-193.615,-238.837,-82.272,-77.712,-115.333
-116.093,-195.135,-244.917,-81.702,-78.472,-114.193
-116.853,-198.936,-246.437,-83.602,-79.232,-115.903
-113.433,-195.896,-243.017,-87.402,-81.892,-117.613
-113.813,-194.945,-248.527,-83.982,-82.842,-121.223
-113.813,-199.316,-252.517,-84.742,-84.172,-120.463
-114.573,-196.656,-250.617,-83.412,-86.072,-118.753
-111.913,-195.516,-249.667,-81.132,-83.412,-122.173
-109.063,-195.325,-241.117,-76.762,-81.132,-125.024
-109.823,-194.375,-241.117,-76.382,-77.902,-120.843
-109.253,-191.905,-238.457,-75.622,-82.082,-117.613
-110.773,-187.345,-238.837,-75.432,-83.222,-118.183
-108.303,-184.875,-241.307,-74.292,-82.462,-119.513
-107.163,-186.015,-244.157,-75.622,-83.032,-116.853
-106.023,-187.535,-241.307,-77.142,-81.702,-110.583
-109.253,-190.195,-235.227,-82.652,-75.622,-107.353
-105.453,-190.385,-232.947,-81.512,-75.052,-109.253
-101.463,-185.445,-235.797,-76.192,-72.202,-108.873
-106.403,-185.445,-243.017,-71.632,-74.482,-106.213
-102.223,-184.305,-240.357,-69.922,-74.102,-107.923
-101.273,-183.545,-234.467,-70.682,-75.622,-114.003
-105.073,-182.215,-235.987,-72.582,-77.712,-114.573
-107.543,-184.115,-239.407,-71.062,-76.762,-108.113
-105.263,-191.525,-244.347,-73.532,-76.002,-104.883
-99.943,-189.245,-243.777,-76.572,-82.272,-110.773
-102.413,-184.115,-240.927,-76.382,-81.702,-116.283
-105.263,-185.255,-241.877,-77.712,-77.712,-115.143
-103.743,-184.875,-239.407,-76.192,-78.472,-114.953
-100.133,-181.835,-231.997,-79.612,-78.282,-114.003
-101.843,-184.875,-227.816,-83.412,-81.512,-121.033
-105.453,-188.675,-233.137,-86.072,-80.942,-120.083
-103.173,-181.265,-241.117,-81.322,-76.762,-118.373
-102.033,-181.455,-240.737,-80.752,-77.522,-122.743
-107.163,-182.785,-242.447,-81.892,-78.852,-125.024
-107.543,-181.835,-250.997,-83.032,-81.702,-121.223
-111.723,-179.745,-255.367,-83.982,-84.932,-117.423
-114.193,-177.085,-257.457,-81.132,-84.552,-118.943
-110.963,-178.605,-256.507,-80.372,-87.212,-122.743
-113.813,-182.215,-256.317,-80.562,-85.502,-119.133
-117.043,-178.415,-257.267,-76.952,-85.312,-111.913
-115.333,-171.955,-250.047,-77.142,-86.262,-112.863
-118.943,-177.275,-247.767,-79.042,-87.782,-116.283
-116.093,-181.075,-252.137,-83.792,-86.832,-118.563
-118.183,-181.645,-262.587,-87.592,-87.592,-118.183
-114.763,-178.985,-262.017,-87.212,-90.063,-120.843
-112.103,-175.945,-261.067,-87.972,-91.773,-123.313
-110.963,-175.755,-260.497,-86.072,-91.203,-122.553
-114.573,-172.145,-256.697,-83.792,-90.823,-120.843
-111.723,-173.285,-255.177,-79.422,-86.262,-118.943
-107.923,-173.095,-250.237,-76.952,-84.362,-123.503
-107.733,-170.815,-245.677,-77.522,-80.942,-121.983
-106.023,-169.865,-246.247,-78.662,-82.462,-118.563
-107.543,-173.475,-246.057,-75.622,-82.272,-116.473
-107.353,-173.475,-249.857,-77.332,-81.512,-117.233
-105.833,-173.285,-249.477,-77.522,-79.612,-118.563
-110.773,-175.375,-253.277,-82.082,-79.042,-119.703
-114.573,-181.835,-260.687,-87.212,-78.282,-115.903
-117.613,-180.125,-259.547,-88.923,-83.222,-116.283
-113.813,-182.785,-253.277,-91.203,-82.272,-121.413
-116.473,-182.785,-254.987,-89.303,-82.462,-118.943
-120.273,-186.015,-257.077,-87.592,-81.132,-114.003
-124.453,-186.395,-256.697,-83.792,-84.552,-113.623
-122.743,-187.535,-255.937,-83.792,-81.892,-113.433
-120.653,-185.825,-257.837,-85.122,-82.652,-109.823
-118.373,-182.975,-259.357,-88.732,-82.652,-108.303
-116.473,-182.785,-260.687,-91.203,-87.592,-116.473
-117.613,-184.685,-259.737,-93.673,-87.972,-123.123
-123.313,-190.955,-267.718,-97.093,-89.493,-121.033
-127.684,-194.755,-266.197,-98.233,-86.832,-116.853
-130.724,-192.095,-261.827,-96.713,-85.312,-120.273
-129.204,-191.525,-259.547,-99.753,-91.393,-124.834
-128.634,-194.185,-260.497,-103.363,-91.393,-129.014
-128.444,-197.036,-267.148,-107.543,-94.053,-128.064
-127.684,-192.285,-269.808,-110.393,-97.853,-127.114
-123.503,-186.775,-269.808,-104.123,-96.143,-130.724
-121.793,-186.395,-266.957,-101.843,-96.333,-131.104
-121.603,-183.165,-264.677,-99.943,-94.813,-124.834
-120.273,-180.505,-263.537,-96.713,-89.873,-119.323
-116.283,-183.355,-261.257,-95.953,-90.063,-120.273
-116.283,-183.925,-253.467,-94.623,-88.923,-128.444
-113.053,-182.405,-257.647,-91.963,-86.452,-128.254
-110.203,-180.885,-259.737,-90.443,-87.212,-123.313
-116.663,-180.125,-253.657,-88.352,-85.502,-123.123
