F3,F4,T3,T4,C1,C2
-0.7825329,-1.4654303,-1.4693242,-1.0909121,-1.0974853,-1.4260404
-1.0209030,-1.3853427,-1.4576749,-1.6352786,-1.4279695,-1.6570405
-0.8918336,-1.3820837,-0.8890013,-1.6412343,-1.2759184,-1.6117218
-0.8336509,-1.2663363,-1.6473604,-1.5531088,-0.8318559,-1.3618469
-0.7095853,-0.8944945,-1.8418291,-1.1001148,-0.7282599,-0.9932941
-0.7463827,-0.8176436,-1.5324663,-1.4733908,-1.0698838,-1.3541036
-0.7504353,-0.6635479,-1.6633903,-1.5972126,-1.3776828,-1.3877621
-0.8661329,-0.8956634,-2.0056760,-1.6908743,-1.5363772,-1.2209244
-0.9650667,-1.1373689,-1.9271104,-1.3566812,-1.6284282,-1.4848675
-1.0337267,-1.0510259,-1.5321721,-1.2197253,-1.2985666,-1.0861820
-1.0642675,-1.0195216,-1.8119642,-0.9319833,-1.0821671,-0.6626837
-1.1384702,-0.8655106,-1.9881952,-0.8133357,-1.0353343,-0.8583992
-1.0326641,-1.1581295,-1.7466933,-1.3110329,-0.9306167,-1.0095384
-0.8945557,-1.1945087,-1.8039875,-1.3482009,-0.5558663,-0.8638367
-1.0064310,-0.8184346,-1.7337993,-1.2083846,-0.6485943,-0.3477122
-0.9042531,-0.7533581,-1.6272240,-0.7606142,-0.2735283,-1.2365837
-0.7418102,-0.6193811,-1.2426405,-0.1797239,-0.2471344,-0.8996542
-0.6731226,-0.3957274,-1.1223543,0.1773604,-0.2611202,-0.7265229
-0.7844382,-0.4220541,-1.2159245,-0.2517179,-0.6422455,-0.8608450
-0.9470850,-0.5492628,-1.8126951,-0.6034850,-0.5699631,-0.7947168
-1.1811163,-0.7839963,-2.0384386,-1.2885066,-0.5360614,-0.6984588
-1.3039905,-1.1482668,-1.7044176,-1.5108839,-0.6758919,-0.8996842
-1.3208628,-1.4979082,-1.8072332,-2.1769555,-0.8527490,-1.1178619
-1.4059976,-1.4772043,-1.9940773,-2.0953298,-1.1169679,-1.4369735
