F3,Fz,F4,Fc5,Fc1,Fc2,Fc6,T3,C3,C1,Cz,C2,C4,T4,Cp5,Cp1,Cp2,Cp6,P3,Pz,P4
0.2288921,0.3884034,1.0523123,0.1798566,0.7545432,1.4644198,1.2305640,-1.7074648,0.3380181,-0.0760738,0.5219276,0.1571168,1.2905148,0.7556767,0.3014095,0.3031230,0.2554392,-0.2925640,0.3452146,0.1582117,0.8345693
0.3625473,0.3777604,1.2535660,0.0713185,1.0047482,1.3949634,1.4355807,-2.1732426,0.6324968,0.3744056,0.1591941,0.6087194,1.7186673,0.9536430,0.1909028,0.6999362,0.4336533,0.2656307,0.9004390,0.3463491,1.5109731
0.2235528,0.2262873,1.2773719,0.9570405,0.8864021,1.8260067,1.8348851,-2.0515091,0.0576353,-0.0323528,0.2214326,1.6771325,2.0058866,1.4955270,0.7486067,0.9111207,0.3924896,0.8277202,0.9294637,0.5041793,1.7547398
0.2551334,0.6376074,1.7095703,0.6202379,0.6656618,2.4450834,1.6774479,-2.1739645,0.5784741,-0.2016616,0.3122024,2.0308983,1.9079486,1.4680047,0.4605836,0.3870984,0.8098469,0.5993841,0.6677002,0.2010886,1.6086848
0.3619271,0.4021158,1.8068455,0.8521125,0.2521088,2.2746971,1.9650799,-2.1001482,0.2738054,0.0566936,0.1349127,3.0415998,1.6685106,1.7281827,0.7260385,0.5447676,0.5440904,0.8886036,0.0087601,0.4198944,1.7039069
0.3040116,0.2660174,1.7572881,0.9192528,0.2554040,1.5888615,2.2939498,-2.1645827,0.6284566,0.3737123,0.1361574,2.8121331,1.5495942,1.9691027,0.4618019,0.5046656,0.3191081,0.7270340,0.3344120,0.5059034,1.7290428
0.4868187,0.4915002,1.9663705,0.5217965,-0.1515114,1.5101309,2.1914866,-1.9798901,0.8438818,0.0593137,0.2372705,2.3115280,2.0141456,1.7540034,0.7572445,-0.0122739,0.5060493,0.5159323,0.6434267,-0.0717795,1.7397772
0.2588746,0.6304346,1.7440746,-0.1457869,-0.1560446,2.1112869,1.9021823,-2.1952078,0.1102010,0.0508482,0.2687108,1.3162206,1.3050808,1.4400306,0.1292241,-0.4370445,-0.0405256,0.3678254,0.0941238,-0.1183944,1.2620611
0.1587317,0.2490172,1.2130064,-0.2133204,-0.2689227,1.4476310,1.3145456,-2.3007159,-0.3777737,-0.0076018,0.1707488,2.2140613,0.9491958,0.9227999,0.5606489,-0.0429612,0.0370362,0.1848140,0.4865023,-0.2007160,1.1027770
0.1568750,0.3751748,1.3468927,0.1196338,-0.2393611,1.4142089,1.4219668,-2.1925483,0.9656622,0.1571745,0.2619050,2.1641781,0.8150623,0.9385321,0.3047989,0.5391514,0.0552784,0.2267120,0.9121449,0.2163321,1.2343141
0.4146297,1.1330670,1.1079957,1.2475724,-0.4804031,1.8674475,1.7692004,-2.0857425,1.0532625,0.4689109,0.4020659,0.9627764,1.2715219,1.0359151,0.6259498,0.3313383,0.5218962,0.2720985,0.6740512,0.3845937,1.1371303
0.3343185,0.7997936,1.6947312,0.4018316,-0.4565776,1.5617807,1.7906470,-2.2414398,0.2337561,0.3268330,0.2079449,2.0493615,1.9058987,1.2456189,0.5520110,-0.2743618,0.4945211,0.2839925,0.6350356,-0.2729194,1.0420774
0.2752120,0.4430167,1.4625123,-0.3054453,-0.4702252,1.2595422,2.0054829,-2.2873211,-0.3839558,-0.1724105,-0.0205587,1.9008172,1.9904032,1.3804996,0.4142955,-0.2183741,0.2476199,0.0712337,0.8864270,-0.2282241,0.9860510
0.2102935,0.3590921,1.6734109,-0.5668679,-0.9893847,1.7906214,1.7957864,-2.2952874,-0.7328194,-0.4656672,0.2744273,0.9284561,1.8361150,1.6571047,0.2944911,-0.2398513,0.4751431,0.0202832,0.4820491,-0.4010582,0.8544860
0.1944579,-0.0943543,1.6046144,-0.5082350,-0.6735315,2.0748475,1.2348464,-2.2189970,-0.6101266,-0.0871185,0.3789982,1.9148078,1.4283682,0.9904661,-0.0479081,-0.0898019,0.5889506,-0.0906503,0.2744845,-0.2462378,0.6436872
-0.1443984,-0.1546437,1.4125603,-0.2416417,-0.4383352,1.5297247,0.8066900,-2.1951604,0.0221758,0.2035936,0.4607678,2.1109645,1.1201487,0.4066333,0.2583042,-0.0225810,0.2853796,0.0558010,0.5442081,0.1785527,0.9832711
-0.0359824,0.1281696,1.6360977,-0.1677184,-0.6259933,1.6670142,1.2676592,-2.1725786,-0.1241674,-0.1751728,0.7291430,1.2905140,1.1799164,0.3944119,0.2336754,0.4024602,0.6591370,0.3677896,0.3214821,0.2310304,1.2556099
0.1516413,0.2855844,1.4743569,0.0626610,-0.6767979,1.6271557,1.9121261,-2.3191037,-0.2928601,-0.1851657,0.4991896,1.8113289,1.3335752,1.2158426,0.3870941,0.2264639,0.9140353,0.5404744,0.5576534,0.2745833,1.5022680
0.3066922,-0.0168818,1.1724623,0.1398956,-0.3438977,1.5692673,1.6275492,-2.4234960,-0.1454245,0.1940553,0.5342075,2.6760089,1.8811880,0.9129610,0.2278384,0.2694865,0.2853920,0.3163241,0.9084552,0.2135676,1.4704996
0.1212957,-0.1569190,0.9103151,0.0512064,-0.3730834,1.6379954,1.6647862,-2.2891467,-0.1716361,0.1861377,0.3404963,1.0412333,1.8298137,0.8874640,0.1334707,0.4276933,-0.1064152,-0.0142194,0.7587776,-0.0836161,1.5162385
-0.0735675,-0.1082442,1.0732191,-0.2556745,-0.4066979,1.7587794,1.4171965,-2.3369756,-0.3150446,-0.0347156,0.3796819,-0.1985920,1.3911120,0.5835780,-0.5041748,0.1297230,0.0628073,-0.5876989,-0.1342942,-0.5570323,0.9604971
-0.2387413,-0.1976277,1.2684224,-1.2316602,-0.5202855,1.7997795,0.8428738,-2.5019698,-0.7290602,-0.8002430,-0.0220090,1.0610125,1.0699269,0.1155802,-1.0125209,-0.9499929,-0.3444988,-0.8376877,-1.0524278,-0.7059011,0.3154739
-0.2267509,0.0318898,0.8248448,-1.2900646,-1.1208117,0.9852449,0.7826231,-2.5155559,-1.4034797,-0.9096708,-0.2737478,1.0126845,0.5404752,-0.3465229,-1.3116132,-1.2110236,-0.1586726,-0.6219949,-0.6577536,-0.9725027,0.5689296
-0.0425932,0.1697211,0.9800908,-0.7888762,-1.1320314,1.0885762,0.9856034,-2.3605089,-1.1281643,-1.1905837,-0.2350777,0.4202341,0.8720484,-0.1276231,-1.3259190,-0.9951359,-0.1264012,-0.6616594,-0.4462221,-0.7997161,1.0399171
-0.3184342,-0.0227562,0.8567379,-0.7880793,-1.6871033,1.5299610,0.8515319,-2.2982371,-1.3544275,-0.7865346,-0.2906450,0.6755698,0.9504461,0.0452663,-0.6119540,-1.0366093,-0.4826807,-0.5645505,-0.6732765,-0.6556113,1.2083871
-0.5355951,-0.0198935,0.8597016,-1.3179870,-1.7061772,1.2581917,1.1070237,-2.3691206,-1.1625750,-0.7190329,-0.4459828,1.4674970,1.3020892,0.3263026,-0.3442988,-1.2256238,-1.0180583,-0.5513936,-0.8465526,-1.0126802,0.7154953
-0.2676976,-0.1375889,1.1349792,-1.1706245,-0.8787234,1.4183708,1.3183682,-2.3454041,-1.0632876,-0.7985086,-0.3627087,0.3580684,1.2136487,0.2487696,-0.8674092,-0.9999843,-1.1297756,-0.4809668,-1.0263345,-1.0560060,0.2744317
-0.1090019,0.1090638,1.1107973,-1.1257962,-1.3401414,1.7069306,1.5863605,-2.4580879,-1.4601083,-1.1190279,-0.7250856,0.2379641,0.7121821,0.3319149,-1.0346621,-1.5713811,-2.0303237,-0.8263716,-1.3340008,-1.2896315,-0.1347867
-0.0079921,-0.0036422,0.9267634,-1.0488954,-1.3560326,1.0373216,1.0671916,-2.5254111,-1.2128724,-1.3749847,-0.5769304,-0.0702154,0.3280811,-0.2319739,-0.7916850,-1.7184086,-1.9896775,-1.0676500,-1.5920101,-1.4853647,-0.2703309
-0.1685591,0.0534768,1.3783979,-0.4066810,-1.3183488,0.9869815,0.8168066,-2.5686166,-1.8558184,-1.4720622,-0.6295529,-0.3967552,0.3479424,-0.4296730,-1.0736952,-1.7079853,-1.7573941,-1.2025652,-1.5057290,-1.6290374,-0.4472632
-0.1796755,0.1918151,0.8687017,-1.2514859,-1.2748038,1.2180872,0.4120885,-2.5849581,-1.9095111,-1.3775774,-0.6456912,-0.5461236,0.4359145,-0.0879064,-1.1207979,-1.0059211,-1.4621223,-1.2531850,-1.1246059,-1.2764399,-0.3396772
-0.2915792,-0.2851881,0.1900267,-1.7185236,-0.7763972,0.7097068,0.6832061,-2.5266252,-1.2453091,-1.2371689,-0.3307225,0.1772524,1.1865790,-0.0526161,-1.2498513,-0.9319935,-0.6596227,-1.1112238,-1.4539484,-1.1603349,-0.1271784
-0.2014401,0.0377995,0.5787847,-1.7107415,-0.8544966,0.5803754,1.3669834,-2.5006406,-0.4419687,-0.9750126,-0.2880293,0.5202439,1.4888332,0.0034671,-1.0636522,-0.9258716,-0.3373825,-0.6901908,-1.2436951,-0.6409071,0.3422038
-0.0952100,0.2622884,0.6961015,-0.9690846,-0.9222152,0.9006222,1.5949314,-2.3444674,0.2154675,-0.6304550,-0.4184203,-0.0712737,1.8759079,0.6027670,-0.7848732,-0.9680715,-0.3015430,-0.2543249,-1.1509188,-0.1773713,0.7188882
0.2014423,0.2822960,1.2738444,-0.3814341,-0.6375813,1.1469783,1.7309923,-2.1237504,0.3974164,-0.4653306,-0.4581130,0.6882960,1.7234159,1.1021123,-1.0176575,-0.9100739,-0.4727666,0.0697594,-1.1175051,0.0605610,0.8260351
-0.6871193,0.2963130,1.1617141,-2.2092867,-1.5556053,1.4766163,1.5416898,-2.2606490,-1.3679099,-1.2267146,-0.7050689,0.4843277,1.0808724,0.7419731,-1.9812174,-1.3977939,-0.9971670,0.0392400,-1.1002141,-0.8541036,0.7521294
-0.9445281,0.1701531,1.0573312,-2.1046324,-1.2213390,1.8323869,1.7831761,-2.6085422,-2.2654312,-1.2596582,-0.4974529,-0.0474168,1.2318789,0.6666108,-1.1374130,-1.1203312,-0.4060089,-0.1600462,-0.7695013,-0.7448425,1.0089270
0.4765571,0.2960957,1.5216575,0.3535949,-0.0244099,1.1923339,1.9904678,-2.4372599,-0.2825351,-0.5016683,-0.1679240,-0.2258531,1.7082821,0.6896805,-0.5488736,-0.4134442,-0.3231048,-0.4553566,-0.2443680,-0.3678159,1.1187065
1.0937260,0.3563022,1.5001922,0.6681275,-0.1879886,0.8310004,1.7168226,-2.2898400,-0.2519836,-0.4925378,-0.3298825,0.7938966,1.6906910,0.4499128,-0.3896877,-0.4266301,-0.1457069,-0.2451225,-0.4311537,-0.2176966,0.9700627
0.6336457,0.2043823,0.9838659,0.1613136,-0.6522681,0.1833207,1.3057323,-2.3055451,-0.2913032,-0.4694229,-0.0589344,0.2377584,1.5046501,-0.0972677,-0.9153317,-0.5583931,0.2016277,-0.2010835,-0.0419910,-0.1627373,0.7472954
0.8663267,0.5128860,1.0137144,0.6918080,-0.2916645,0.4649329,1.0685314,-2.2875974,-0.2492323,-0.1672183,-0.0844776,-0.3271945,1.6891295,0.1753342,-0.7250971,-0.3826095,-0.0305363,-0.0595215,-0.0014365,0.2637613,0.8526430
1.1201395,0.8177176,1.1839275,1.2476974,-0.7119060,0.7094828,1.2092798,-2.2345603,0.1452283,-0.0244856,-0.4592207,0.5882948,1.7370312,0.5055115,-0.7438804,-0.4731674,-0.4627147,-0.7988352,0.0194934,0.1006957,1.0040052
0.7612756,0.5181395,0.7890808,1.4972339,-0.7253471,0.3513533,0.6990594,-2.1520071,-0.1852647,0.1216720,-0.2354336,0.2857822,1.1819661,0.3407809,-0.6032729,-0.7637454,-0.8877789,-1.0440494,0.0769074,-0.2936876,0.5441846
0.9043258,1.0759825,0.7126681,0.7416486,-0.4146584,0.7635837,-0.2262428,-1.9880581,0.0569629,-0.1280008,-0.3270021,-0.7167270,0.6834677,-0.2178345,-0.6909996,-1.0802002,-0.7574636,-0.9217293,-0.6181266,-0.6024292,0.4537501
0.6542052,0.6617575,0.6866046,-0.2915802,-0.6226818,0.7494367,-0.4339879,-2.1595941,-0.6601138,-0.2062490,-0.3725450,0.2161381,0.2285010,-0.5327276,-1.1342970,-1.4640130,-1.0910503,-1.1665881,-1.1531711,-0.7603803,0.2618351
0.3387009,0.3501965,0.5218596,-0.2475884,-0.8032011,0.8901059,-0.1695256,-2.2722991,-1.0208731,-0.7630869,-0.4906564,0.5566074,0.4211901,-0.6391926,-1.0590541,-1.3018383,-1.2259635,-1.2053791,-1.0146383,-1.0239614,0.0649333
0.5392582,1.0497525,0.6272615,0.2932317,-1.2341666,1.2119749,0.5156951,-2.2300954,-0.4880962,-0.8254664,-0.3962611,-0.4475766,0.5175017,0.2077362,-0.6443827,-1.4776616,-1.5673974,-0.9497982,-0.6533130,-1.4940941,-0.2209029
0.8452132,1.2139889,1.0897181,0.1658715,-0.6472690,1.7208358,0.3105972,-2.2367244,-0.3391927,-0.9360964,-0.2777286,-0.2691426,0.4640506,-0.1071475,-0.6736163,-1.2294246,-1.6040385,-1.2567441,-0.8597530,-1.4057010,-0.5028425
0.5923049,0.6219189,0.6601611,-0.1243553,-0.3585106,0.5257997,-0.0331501,-2.2836974,-0.9184487,-1.1821057,-0.2633528,0.5612335,0.1504323,-0.3472520,-0.7736621,-1.7734834,-1.8387816,-1.4041301,-1.3725580,-1.5869989,-0.4934498
