# F3,F4,T3,T4,C1,C2
-88.542,-188.105,-208.246,-84.172,-65.362,-114.953
-88.162,-184.305,-201.406,-81.512,-65.552,-113.813
-83.792,-182.405,-198.936,-79.042,-65.932,-113.433
-81.892,-177.845,-202.926,-75.432,-61.372,-107.733
-81.702,-178.415,-203.306,-70.682,-57.762,-100.133
-83.032,-180.695,-201.026,-67.262,-55.482,-103.933
-78.092,-181.455,-198.746,-68.212,-58.142,-110.393
-79.992,-180.885,-200.076,-70.682,-62.132,-114.193
-81.702,-185.445,-203.496,-77.902,-66.312,-115.713
-80.752,-189.625,-207.296,-84.362,-67.262,-117.613
-81.132,-185.635,-208.056,-89.303,-70.302,-127.304
-84.742,-186.015,-211.096,-92.533,-67.642,-127.304
-82.652,-185.445,-215.086,-88.542,-68.972,-119.893
-85.122,-184.495,-214.896,-86.642,-64.412,-114.953
-91.773,-183.925,-210.146,-84.932,-63.272,-114.953
-92.533,-185.635,-206.916,-82.272,-66.692,-115.143
-93.103,-189.245,-215.086,-80.752,-66.692,-106.783
-94.813,-192.095,-222.496,-86.262,-70.112,-106.973
-97.853,-194.945,-230.096,-95.953,-79.612,-114.573
-102.603,-196.656,-232.187,-103.363,-78.662,-124.073
-94.243,-197.986,-235.797,-102.413,-76.192,-122.553
-95.003,-194.565,-233.137,-100.703,-74.672,-119.893
-96.523,-195.896,-230.666,-103.173,-72.772,-123.693
-96.143,-196.846,-226.486,-105.263,-72.962,-127.494
-100.133,-194.185,-226.676,-108.683,-70.302,-120.463
-100.513,-196.276,-227.816,-109.823,-69.352,-115.333
-106.403,-197.226,-229.146,-105.833,-69.542,-118.753
-100.893,-199.316,-222.686,-110.203,-72.202,-126.924
-95.953,-196.276,-221.926,-106.973,-74.482,-125.784
-97.663,-192.285,-225.726,-106.973,-78.472,-123.313
-102.603,-194.945,-227.626,-107.163,-74.672,-126.354
-99.563,-196.846,-222.306,-108.683,-77.902,-131.864
-97.853,-193.045,-227.816,-106.783,-77.332,-130.154
-93.673,-191.525,-229.526,-97.853,-68.782,-122.363
-94.053,-186.775,-225.156,-93.673,-69.162,-121.223
-93.673,-184.115,-220.406,-95.003,-72.962,-121.223
-95.573,-184.685,-224.016,-94.433,-72.012,-119.893
-95.763,-186.205,-220.976,-92.533,-66.312,-112.863
-94.623,-189.245,-214.896,-92.723,-66.882,-113.623
-89.873,-190.385,-213.186,-92.723,-64.792,-114.763
-85.692,-188.295,-211.856,-92.913,-64.032,-113.243
-80.562,-187.535,-206.346,-94.433,-62.512,-111.533
-79.612,-183.735,-202.356,-87.972,-60.612,-107.733
-76.002,-181.455,-197.416,-85.692,-61.752,-112.863
-76.952,-182.595,-197.036,-83.602,-57.192,-116.283
-80.942,-181.455,-198.936,-86.262,-57.572,-112.673
-80.752,-180.125,-202.356,-87.972,-56.242,-110.203
-81.322,-184.685,-197.606,-84.932,-57.192,-111.723
-82.272,-187.155,-198.936,-87.022,-60.802,-117.613
-84.742,-186.585,-203.496,-87.212,-59.852,-117.993
-83.982,-184.875,-207.676,-88.732,-61.182,-116.093
-87.782,-188.295,-209.196,-93.483,-64.602,-117.803
-90.823,-189.815,-209.766,-95.953,-65.552,-125.404
-91.393,-190.005,-215.846,-97.283,-71.442,-126.924
-95.003,-185.825,-221.546,-98.993,-70.302,-121.223
-93.483,-187.535,-220.786,-95.193,-69.542,-119.323
-90.823,-186.205,-215.086,-92.723,-71.252,-125.594
-88.352,-187.155,-212.426,-88.542,-69.922,-126.164
-87.402,-185.255,-209.956,-87.402,-67.642,-117.803
-89.683,-185.825,-209.766,-88.732,-65.552,-115.333
-89.113,-189.245,-210.526,-92.533,-67.262,-119.703
-86.452,-191.715,-210.336,-94.053,-66.312,-123.313
-89.113,-188.865,-216.036,-93.293,-67.832,-118.373
-94.243,-188.295,-216.796,-93.483,-69.162,-115.903
-86.832,-188.675,-212.996,-92.533,-68.972,-120.273
-83.032,-186.015,-213.946,-88.162,-69.162,-122.553
-83.412,-183.735,-215.276,-89.493,-66.692,-117.043
-85.312,-182.595,-213.566,-90.253,-64.412,-114.003
-84.362,-187.345,-207.676,-94.813,-60.612,-116.283
-83.982,-189.435,-207.486,-96.713,-58.902,-119.513
-84.932,-185.825,-213.946,-98.233,-58.712,-113.623
-87.212,-188.295,-217.556,-98.993,-65.362,-104.693
-86.832,-192.855,-214.896,-94.813,-66.312,-112.483
-85.122,-191.905,-211.666,-96.523,-64.982,-121.033
-89.683,-188.675,-209.576,-99.753,-68.592,-117.613
-88.542,-189.625,-215.086,-96.333,-67.072,-112.293
-87.212,-187.155,-213.376,-91.393,-64.792,-114.003
-87.022,-179.745,-211.286,-89.683,-62.512,-118.563
-84.742,-180.125,-213.566,-90.633,-61.942,-118.563
-86.262,-178.035,-212.806,-84.932,-63.462,-115.713
-84.932,-175.755,-210.906,-87.782,-67.452,-118.563
-85.692,-179.745,-213.376,-92.913,-68.022,-120.653
-84.742,-183.165,-217.366,-95.383,-68.592,-122.553
-89.303,-184.305,-223.446,-97.473,-68.972,-116.853
-89.113,-180.505,-227.246,-94.243,-72.962,-117.043
-82.272,-184.305,-221.546,-92.723,-70.682,-119.323
-84.552,-182.215,-212.426,-90.443,-63.842,-117.993
-81.702,-178.985,-209.006,-88.732,-63.272,-115.143
-81.892,-178.985,-207.676,-83.412,-63.842,-108.873
-81.702,-182.595,-207.296,-80.182,-63.652,-110.773
-80.372,-182.975,-201.406,-81.132,-61.372,-116.283
-80.182,-181.835,-198.936,-79.992,-61.942,-112.293
-78.092,-177.655,-200.646,-76.572,-59.282,-105.263
